职位名称,公司名称,工作经验要求,学历要求,工作地点,薪酬,发布时间,职位描述或任职要求,城市地区,公司规模,公司类型,公司标签
JAVA软件工程师（安卓APP维护与开发）,上海芮想信息科技有限公司,5-7年经验,大专,长沙长沙县三一魔豆仓创新中心1,1.5-2.2万,01-27发布,岗位职责：1、负责Android客户端APP产品研发，参与技术方案设计和改进。2、负责Android客户端技术架构的改进及性能优化。3、解决项目中遇到的各种技术难题和突发问题。4、Android应用领域前沿技术研究与新技术调研。任职要求：1、3年以上Android平台开发经验，熟悉Android相关开发、调试、优化工具、打包流程。2、对AndroidSDK有深入理解，熟练掌握Android平台各类API，能够对移动应用进行性能分析和优化，能独立完成安卓产品开发。3、熟悉android平台UI设计，熟悉android常用布局，熟悉android四大组件。4、扎实的java基础，熟悉常用数据结构，有C++开发经验优先考虑。5、熟悉多线程、Socket网络编程，熟悉TCP、UDP、HTTP等网络协议。6、熟悉Android界面布局及绘制、数据存储、网络通信机制等，理解Android运行原理和体系架构。年龄要求：25-32岁职能类别：Android开发工程师关键字：安卓android开发软件开发软件工程师,长沙,1000-5000人,民营,计算机软件
安卓开发工程师 (MJ000140),深圳至一数字科技有限公司,3-4年经验,本科,航城智谷中城未来产业园7栋307,1.5-2万,01-27发布,岗位职责：1、负责Android客户端APP产品研发，参与技术方案设计和改进。2、负责Android客户端技术架构的改进及性能优化。3、解决项目中遇到的各种技术难题和突发问题。4、Android应用领域前沿技术研究与新技术调研。任职要求：1、3年以上Android平台开发经验，熟悉Android相关开发、调试、优化工具、打包流程。2、对AndroidSDK有深入理解，熟练掌握Android平台各类API，能够对移动应用进行性能分析和优化，能独立完成安卓产品开发。3、熟悉android平台UI设计，熟悉android常用布局，熟悉android四大组件。4、扎实的java基础，熟悉常用数据结构，有C++开发经验优先考虑。5、熟悉多线程、Socket网络编程，熟悉TCP、UDP、HTTP等网络协议。6、熟悉Android界面布局及绘制、数据存储、网络通信机制等，理解Android运行原理和体系架构。年龄要求：25-32岁职能类别：Android开发工程师关键字：安卓android开发软件开发软件工程师,深圳-宝安区,少于50人,民营,计算机软件
安卓高级软件开发工程师,上海宝象医疗科技有限公司,3-4年经验,本科,上海市徐汇区枫林路420号枫林国际二期A座2楼C10室,15-30万/年,01-27发布,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格职能类别：Android开发工程师关键字：java性能调优kotlin安卓开发组件封装通讯机制开发框架h5,上海-徐汇区,少于50人,民营,医疗/护理/卫生
安卓工程师（双休 13薪）,上海豪亿信息科技有限公司,5-7年经验,大专,张江润和总部园写字楼1,1.8-2.8万,01-27发布,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格职能类别：Android开发工程师关键字：java性能调优kotlin安卓开发组件封装通讯机制开发框架h5,上海-浦东新区,500-1000人,民营,通信/电信/网络设备
安卓工程师,上海芮想信息科技有限公司,5-7年经验,大专,长沙长沙县三一魔豆仓创新中心1,1.5-2.2万,01-27发布,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格职能类别：Android开发工程师关键字：java性能调优kotlin安卓开发组件封装通讯机制开发框架h5,长沙,1000-5000人,民营,计算机软件
安卓工程师,爱乔（上海）医疗科技有限公司,5-7年经验,本科,龙东大道3000号1幢A楼505、06,1.5-2.5万·14薪,01-27发布,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格职能类别：Android开发工程师关键字：java性能调优kotlin安卓开发组件封装通讯机制开发框架h5,上海-浦东新区,50-150人,民营,医疗设备/器械
安卓工程师,广州三晶电气股份有限公司,5-7年经验,本科,黄埔区科学城荔枝山路9号,1.5-2.5万·15薪,01-27发布,岗位职责：1、负责Android客户端APP产品研发，参与技术方案设计和改进。2、负责Android客户端技术架构的改进及性能优化。3、解决项目中遇到的各种技术难题和突发问题。4、Android应用领域前沿技术研究与新技术调研。任职要求：1、3年以上Android平台开发经验，熟悉Android相关开发、调试、优化工具、打包流程。2、对AndroidSDK有深入理解，熟练掌握Android平台各类API，能够对移动应用进行性能分析和优化，能独立完成安卓产品开发。3、熟悉android平台UI设计，熟悉android常用布局，熟悉android四大组件。4、扎实的java基础，熟悉常用数据结构，有C++开发经验优先考虑。5、熟悉多线程、Socket网络编程，熟悉TCP、UDP、HTTP等网络协议。6、熟悉Android界面布局及绘制、数据存储、网络通信机制等，理解Android运行原理和体系架构。年龄要求：25-32岁职能类别：Android开发工程师关键字：安卓android开发软件开发软件工程师,广州,500-1000人,民营,新能源
Android安卓工程师,常州市荣瑞信息自动化有限公司,3-4年经验,本科,新闻大厦1201室,8千-1.2万,01-20发布,工作职责：①　按产品需求完成系统设计和功能模块的编写；②　遵循工作制度，开发规范，及时交付工作任务，对代码质量和结果负责；③　清晰理解分析业务需求，编写模块详细设计文档；④　能够维护现有业务安卓APP，并进行系统功能改进，后期进行新功能APP开发；任职资格：①　计算机相关专业本科及以上学历，1-3年以上Java开发经验;②　熟悉安卓APP开发，具有相关项目经验，能胜任给定的APP开发任务；③　熟悉MYSQL、ORACLE等数据库编程;④　熟悉软件开发流程；⑤　具有较强的逻辑思维能力和良好团队精神，有一定的文档能力；年龄要求：22-30岁职能类别：软件工程师关键字：软件工程师软件开发开发,常州-钟楼区,50-150人,民营,计算机软件
安卓工程师,上海芮想信息科技有限公司,5-7年经验,大专,长沙长沙县三一魔豆仓创新中心1,1.5-2.2万,01-27发布,职位描述：1、配合设计师实现交互效果，配合后台工程师完成应用开发；2、独立负责公司安卓端的研发；3、独立负责安卓端框架构建，系统集成，部署维护，精准定位问题等；任职要求：1、有较强的编程能力，深入了解设计模式。2、有5年以上android开发经验，能够很快适应团队工作，喜欢研究新技术3、熟悉常用Android端开发框架，如flutter等4、有过安卓端从0到1的开发经验，完整的app开发流程5、对安卓端与前端等有自己较深的理解，能独立开发app系统6、有信贷、风控、监管、支付等方面相关app项目经验更佳职能类别：Android开发工程师关键字：支付风控信贷监管,长沙,1000-5000人,民营,计算机软件
中高级安卓工程师,苏州咖乐美咖啡机科技有限公司,3-4年经验,本科,园区星龙街428号苏春工业坊,1.8-2.5万·14薪,01-20发布,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格职能类别：Android开发工程师关键字：java性能调优kotlin安卓开发组件封装通讯机制开发框架h5,苏州-工业园区,150-500人,民营,家具/家电/玩具/礼品
