职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司标签,工作地点,职位描述或任职要求,规模类型
安卓工程师（双休 13薪）,常州市荣瑞信息自动化有限公司,8千-1.2万,常州-钟楼区,本科,3-4年经验,01-17发布,计算机软件,,职位描述及要求:岗位职责：1、负责Android平台客户端产品开发和维护工作，并负责在实际开发过程中与其他相关部门的沟通；2、参与手机App产品需求、功能等讨论，并根据需求出设计方案；3、熟悉Android常用组件以及开发模式，保证软件质量；4、对项目进行后期的维护及更新，发现其缺陷并改正更新；5、能够服从上级领导的工作调配。任职资格：1、具有良好判断能力、协调沟通能力和执行力，有独立思考解决问题的能力，具备良好的敬业精神和职业道德；2、能独立开发Android应用；3、3年及以上Android应用开发经验优先，熟悉安卓硬件设备的优先；4、精通java语言，熟悉Android应用开发流程。上班时间：上班时间5天8H，双休，节假日固定放假福利待遇：1.公司提供有竞争力的薪资待遇，每年1至2次调薪机会；2.简单的人际关系、良好的办公环境；3.设有五险一金、意外险、年度体检等；4.有午餐补贴，如有加班提供加班费5.节假日有额外不定时福利发放（端午、中秋、年终奖、带薪年假等）。,民营  |  50-150人
安卓工程师,苏州咖乐美咖啡机科技有限公司,1.8-2.5万·14薪,苏州-工业园区,本科,3-4年经验,01-29发布,家具/家电/玩具/礼品,,职责描述：1、根据需求设计功能模块的技术方案；2、独立进行功能模块的开发编码与调试；3、负责项目的维护与生产技术支持；4、承担相关技术文档的编写与维护工作；5、参与部分新技术的预研和测试工作。任职要求：1、本科及以上学历，计算机相关专业；2、3年以上Android开发经验，有完整的Android项目经验，具备扎实的Java、编程基础；3、熟悉android系统架构及相关技术，熟悉android下的网络通信机制，掌握HTTP、TCP/IP、Socket等网络通信编程技术；4、熟悉androidJNI开发，具备串口开发经验；5、有android多媒体开发经验，熟悉音频、视频及流媒体文件的播放；6、熟悉常用的UI布局框架，独立完成应用布局开发工作；7、具有良好的沟通能力和团队协作精神。,民营  |  150-500人
高级安卓开发工程师,广州优谷信息技术有限公司,1.5-2万·13薪,广州-天河区,大专,5-7年经验,01-18发布,计算机软件,,岗位职责1、负责公司核心产品，朗读亭、朗读教室、留声墙等产品的编码开发；2、对负责的编码和已有的业务编码进行改造和优化，提升产品运行性能；3、负责产品的安卓开发迭代，参与评审，编码开发和线上维护工作；4、配合项目经理和产品经理对项目进行技术评估。任职要求1、本科学历，优秀者可放宽到大专，5年以上安卓开发经验；2、具备独立完成安卓项目上线经验，有软硬件等智能设备开发经验者优先；3、有fultter开发、上线产品者优先；4、英语通过cet-4以上者优先考虑。,民营  |  150-500人
安卓应用开发工程师,江苏明月智能科技有限公司,1-2万,扬州-邗江区,本科,3-4年经验,01-16发布,计算机软件,,,民营  |  150-500人
安卓APP开发工程师,上海芮想信息科技有限公司,1.5-2.2万,长沙,大专,5-7年经验,01-14发布,计算机软件,,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格,民营  |  1000-5000人
高级安卓开发工程师 智网团队,东软集团股份有限公司,2-2.5万,深圳-南山区,本科,3-4年经验,01-29发布,计算机软件,,,已上市  |  10000人以上
Android安卓应用高级开发工程师,深圳市微队信息技术有限公司,1-2万,昆山,本科,3-4年经验,01-10发布,计算机软件,,1、负责参与机器人项目的前期策划和目标制定并提供可行性建议；2、负责根据项目的要求，承担Android系统的各模块功能的设计、开发；任职要求：1、本科及以上学历；2、3年以上Android系统开发经验，精通Java/C/C++；3、熟练Android框架API及FrameWork多层次模块开发；4、熟悉AndroidSDKPDK及相关配套工具；5、有基于Linux系统开发经验的优先考虑；,民营  |  少于50人
安卓系统工程师,苏州普热斯勒先进成型技术有限公司,2-2.5万,深圳-宝安区,本科,3-4年经验,01-10发布,汽车零配件,,岗位职责：1、负责Android客户端APP产品研发，参与技术方案设计和改进。2、负责Android客户端技术架构的改进及性能优化。3、解决项目中遇到的各种技术难题和突发问题。4、Android应用领域前沿技术研究与新技术调研。任职要求：1、3年以上Android平台开发经验，熟悉Android相关开发、调试、优化工具、打包流程。2、对AndroidSDK有深入理解，熟练掌握Android平台各类API，能够对移动应用进行性能分析和优化，能独立完成安卓产品开发。3、熟悉android平台UI设计，熟悉android常用布局，熟悉android四大组件。4、扎实的java基础，熟悉常用数据结构，有C++开发经验优先考虑。5、熟悉多线程、Socket网络编程，熟悉TCP、UDP、HTTP等网络协议。6、熟悉Android界面布局及绘制、数据存储、网络通信机制等，理解Android运行原理和体系架构。,合资  |  500-1000人
安卓APP开发工程师,上海芮想信息科技有限公司,1.5-2.2万,深圳-坪山区,本科,3-4年经验,01-14发布,计算机软件,,1、参与产品需求评审、UE交互评审，以及UI设计和测试用例的评审2、负责Android功能模块的开发、开发概要设计撰写和功能自测3、负责测试bug的修正和验证4、负责Android客户端的性能优化、故障排查5、组织或参与开发概要技术设计评审、代码走查1、本科及以上学历，计算机或相关专业；2、5年以上App相关开发经验，有较强的独立工作和解决问题的能力；3、熟悉Android/iOS系统架构，熟悉Java、Kotlin、Objective-C、Swift；4、有良好的学习能力和强烈的进取心、良好的沟通与表达能力、思路清晰；5、具有较好的团队精神，有强烈的责任感和积极的工作态度；6、较强的动手能力与逻辑分析能力。对用户体验、交互流程及用户需求有所理解者优先；7、有Flutter、ReactNative等跨平台开发经验；8、有独立开发过APP项目、有物联网相关经验，或有应用商店上架产品者优先。,民营  |  1000-5000人
安卓开发工程师,深圳至一数字科技有限公司,1.5-2万,长沙,大专,5-7年经验,01-03发布,计算机软件,,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格,民营  |  少于50人
安卓应用开发工程师,苏州以利亚智能科技有限公司,8千-1万,苏州-吴中区,大专,1年经验,12-31发布,计算机服务(系统、数据服务、维修),,"1、根据公司要求独立完成基于Android系统平台进行应用程序开发设计、调试工作2、独立完成Android移动端、平板端开发和维护；4、依据业务需求进行相应模块和功能开发；5、负责客户端软件及相关产品的适配和升级；6、规范代码的编写；7、按照开发流程编写相应模块的设计文档；8、学习和研究新的移动互联网技术以满足产品的需求并提升产品质量。岗位要求：1、熟练使用AndroidStudio等Android软件开发工具，精通androidUI组件，熟练掌握自定义View，安卓图表绘制;2、熟悉Android应用开发技术，包括UI编程，图形编程，多线程编程，网络编程，多媒体编程等；3、熟悉Android系统结构，常用设计模式、数据结构；4、熟练使用MVC、MVP模式，熟悉TCP/IP、Socket、HTTP等网络通信原理和运用，熟悉Android下串口开发5、精通Json/Xml等网络数据的解析;4、了解Android平台内存管理机制、进程管理机制、任务管理机制；5、对终端产品的UI/UE有独到的见解与认识，追求良好的用户体验；6、熟练掌握java技术，熟悉面向对象编程设计,熟悉设计模式，具备扎实的编程基础；7、熟悉Android框架及各种特性，掌握Android的线程机制，并熟练使用多线程；9、性格稳重，良好的表达、沟通能力；10、较强的团队意识，有较强的独立思考、解决问题的能力、学习能力、逻辑分析能力；11、性格稳重，工作认真负责，吃苦耐劳，执行力强，积极高效。",民营  |  少于50人
高级安卓开发工程师 智网团队,东软集团股份有限公司,2-2.5万,杭州-萧山区,本科,3-4年经验,12-28发布,计算机软件,,"岗位职责：1.承担事业部创新应用类项目（功能或组件）开发任务；2.承担事业部海外AMI项目HHUAPP的开发和维护任务；3.持续提升系统性能和稳定性，扫除技术风险；4.撰写技术方案，参与系统分析与设计、测试支持、系统上线；5.维护和升级现有系统，快速定位并修复现有软件缺陷；6.参与新产品、新技术的创新性预研。任职要求：1.计算机相关专业，大学本科及以上学历；2.有良好的Java技术功底，熟悉移动客户端开发；3.3年以上实际Android客户端开发经验，精通Android平台框架原理，有独立主导客户端开发的能力；4.有良好的编码习惯,要求结构清晰，命名规范，逻辑性强，代码冗余率低；5.熟悉Android下网络通信机制，对Socket通信、TCP/IP和http、https有一定理解和经验，熟悉Android平台下的多线程；6.熟悉Android产品设计，有适配经验，熟悉移动设备的开发特点，性能调优；7.学习能力强，有较强分析和解决问题的能力，工作积极主动，良好的责任感和严谨工作作风；8.拥有电力、电表行业相关领域工作经验者优先；9.能够接受海外中短期出差者优先。",已上市  |  10000人以上
安卓APP开发工程师,上海芮想信息科技有限公司,1.5-2.2万,深圳-坪山区,本科,3-4年经验,12-26发布,计算机软件,,1、参与产品需求评审、UE交互评审，以及UI设计和测试用例的评审2、负责Android功能模块的开发、开发概要设计撰写和功能自测3、负责测试bug的修正和验证4、负责Android客户端的性能优化、故障排查5、组织或参与开发概要技术设计评审、代码走查1、本科及以上学历，计算机或相关专业；2、5年以上App相关开发经验，有较强的独立工作和解决问题的能力；3、熟悉Android/iOS系统架构，熟悉Java、Kotlin、Objective-C、Swift；4、有良好的学习能力和强烈的进取心、良好的沟通与表达能力、思路清晰；5、具有较好的团队精神，有强烈的责任感和积极的工作态度；6、较强的动手能力与逻辑分析能力。对用户体验、交互流程及用户需求有所理解者优先；7、有Flutter、ReactNative等跨平台开发经验；8、有独立开发过APP项目、有物联网相关经验，或有应用商店上架产品者优先。,民营  |  1000-5000人
安卓Android开发工程师,慧博云通科技股份有限公司,1.8-2.2万,长沙,大专,5-7年经验,01-29发布,计算机软件,,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格,已上市  |  5000-10000人
安卓中间件开发工程师,江苏明月智能科技有限公司,1.2-1.5万·14薪,宁波-鄞州区,本科,2年经验,01-29发布,计算机软件,,岗位要求：1、熟悉常用的设计模式、数据结构;有Android软件开发经验，熟悉Android移动终端开发技术，熟悉flutter优先2、有扎实的Java语言基础;熟练掌握Android各种UI布局和控件，能够熟练自定义UI控件；3、熟练掌握HTTP及Socket编程;对Android程序性能优化、内存优化有一定的经验；有良好的代码习惯，要求结构清晰、命名规范、逻辑性强、代码冗余率低，代码注释清晰；4、在规定时间内高效完成任务并具备良好的团队合作精神，可承受一定的工作压力。招聘要求：1、理工类本科毕业，2年以上工作经验；2、具有强烈的进取心和求知欲望，善于学习和运用新知识，乐于解决具有挑战性的问题等。,民营  |  150-500人
高级安卓开发工程师 智网团队,东软集团股份有限公司,2-2.5万,扬州-邗江区,本科,3-4年经验,01-28发布,计算机软件,,职位描述：1、根据产品需求完成Android车载中间件的设计与开发；2、分析并解决软件问题，维护并改善程序质量；3、配合Android应用开发、测试人员、MCU人员的工作与问题定位分析；4、建设与维护自动化接口测试工具，提升产品质量；职位要求：1、计算机相关专业本科以上学历；2、有丰富的C/C++开发经验，至少2年framework工作经验；3、熟悉AndroidFramework机制，熟练掌握基于NDK，JNI方式的开发和Debug；4、熟悉UART/SPI通信、AndroidAIDL和HIDL开发；5、良好的英语读写能力，能快速阅读相关英文资料；6、有Android车载IVI开发经验优先；,已上市  |  10000人以上
安卓APP开发工程师,上海芮想信息科技有限公司,1.5-2.2万,佛山-南海区,大专,1年经验,01-28发布,计算机软件,,现时只招iOS开发1、负责百变猴商城IOS/安卓系统的软件开发2、独立负责IOS/安卓APP开发和维护工作3、代码实现UI/UX设计师及产品经理的效果图及交互效果4、优化代码，提升用户体验5、与后端工程师合作开发、排查故障，解决应用的相关技术问题，学习研究业内的优异实践，并使用到产品中6、有商城APP开发工作经验,民营  |  1000-5000人
安卓开发工程师,杭州绿掌科技有限公司,1-1.5万,长沙,大专,5-7年经验,01-28发布,计算机软件,,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格,民营  |  50-150人
安卓开发工程师,康铭泰克科技股份有限公司,1-1.8万·13薪,深圳-坪山区,本科,3-4年经验,01-28发布,互联网/电子商务,,1、参与产品需求评审、UE交互评审，以及UI设计和测试用例的评审2、负责Android功能模块的开发、开发概要设计撰写和功能自测3、负责测试bug的修正和验证4、负责Android客户端的性能优化、故障排查5、组织或参与开发概要技术设计评审、代码走查1、本科及以上学历，计算机或相关专业；2、5年以上App相关开发经验，有较强的独立工作和解决问题的能力；3、熟悉Android/iOS系统架构，熟悉Java、Kotlin、Objective-C、Swift；4、有良好的学习能力和强烈的进取心、良好的沟通与表达能力、思路清晰；5、具有较好的团队精神，有强烈的责任感和积极的工作态度；6、较强的动手能力与逻辑分析能力。对用户体验、交互流程及用户需求有所理解者优先；7、有Flutter、ReactNative等跨平台开发经验；8、有独立开发过APP项目、有物联网相关经验，或有应用商店上架产品者优先。,民营  |  150-500人
安卓中间件开发工程师,江苏明月智能科技有限公司,1.2-1.5万·14薪,成都-锦江区,大专,3-4年经验,01-28发布,计算机软件,,简介：短期项目，短期项目，短期项目，项目周期4个月！！兼职合同，薪资范围：18k-22k之间早9：00-9:30上班，晚18:00-18:30下班加班根据项目情况，周末加班1:1比例换调休，法定节假日当天加班按照三倍发放1.负责Android、鸿蒙手机与IOT设备之间互联互通的需求开发；2.负责Android、鸿蒙手机与IOT设备之间的基础连接通路的延迟、稳定性、功耗优化；3.负责Android、鸿蒙手机各个版本与型号间互联互通协议的兼容性处理；1.熟悉Java或C/C++语言，有Android平台开发经验，对Androidframework有较为深入的了解；2.有Androidbluedroid协议栈，WiFiDirect（WiFiP2p）协议开发经验优先；3.熟悉app性能调优和内存优化，熟悉组件化、插件化和多线程编程；4.具备良好的编程习惯，理解设计模式，在项目或产品中有很好的设计实践；5.沟通表达能力强，良好的团队合作能力，具备责任心与技术热情；,民营  |  150-500人
安卓APP开发工程师,上海芮想信息科技有限公司,1.5-2.2万,扬州-邗江区,本科,3-4年经验,12-16发布,计算机软件,,岗位职责：1、根据产品需求完成Android车载中间件的设计与开发；2、分析并解决软件问题，维护并改善程序质量；3、配合Android应用开发、测试人员、MCU人员的工作与问题定位分析；4、建设与维护自动化接口测试工具，提升产品质量；任职要求：1、计算机相关专业本科以上学历；2、有丰富的C/C++开发经验，至少2年framework工作经验；3、熟悉AndroidFramework机制，熟练掌握基于NDK，JNI方式的开发和Debug；4、熟悉UART/SPI通信、AndroidAIDL和HIDL开发；5、良好的英语读写能力，能快速阅读相关英文资料；6、有Android车载IVI开发经验优先；,民营  |  1000-5000人
IOS/安卓开发工程师,广东高力集团有限公司,7-9千,长沙,大专,5-7年经验,01-29发布,多元化业务集团公司,,任职要求：1、大专及以上学历2、5年以上安卓原生开发经验3、熟悉java开发语言，熟悉kotlin等安卓原生常用开发框架和UI框架4、熟悉安卓原生与H5的通讯机制5、熟悉安卓开发的性能调优6、熟悉安卓的组件封装和自定义UI组件的开发，熟悉安卓页面的屏幕适配7、良好的编码习惯和代码风格,民营  |  1000-5000人
