职位名称,薪酬,城市地区,工作经验要求,学历要求,公司福利,公司名称,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值,公司规模,公司类型,平均薪资,工资级别
人力资源管理岗,1-2万,南昌·青山湖区,5-7年,硕士,"节假日福利
五险一金",赣江新区创新产业投资有限公司,民营  |  50-150人,金融/投资/证券,二线,10000-20000,10000,20000,50-150人,民营,15000,二级
人力资源管理岗,8千-1.6万·13薪,芜湖·鸠江区,5-7年,大专,"五险一金
员工旅游
定期体检
周末双休
免费工作餐
高温补贴",芜湖麦可威电磁科技有限公司,民营  |  150-500人,电子技术/半导体/集成电路,三线,8000-16000,8000,16000,150-500人,民营,12000,三级
人力资源管理岗,8千-1.5万,北京,5-7年,本科,"招聘
人才梯队
职称评审
人才管理体系
五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",中国核工业中原建设有限公司华东分公司,国企  |  150-500人,建筑/建材/工程,一线,8000-15000,8000,15000,150-500人,国企,11500,三级
企业人力资源管理培训师,9千-1.8万,东莞·南城区,3-4年,本科,"五险一金
员工旅游
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
弹性工作",广东向上人力资源有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),新一线,9000-18000,9000,18000,50-150人,民营,13500,二级
人力资源管理,5-9千·13薪,扬州,3-4年,本科,"五险一金
专业培训
股票期权
年终奖金
周末双休",江苏奥力威传感高科股份有限公司,已上市  |  500-1000人,汽车,三线,5000-9000,5000,9000,500-1000人,已上市,7000,四级
人力资源管理员,4.5-5.5千·13薪,株洲,2年,本科,"人力资源
人员招聘
招聘配置
五险一金
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训",旗滨集团股份有限公司,已上市  |  10000人以上,原材料和加工,三线,4500-5500,4500,5500,10000人以上,已上市,5000,五级
市七医院人事/人力资源管理岗位,1-1.8万·13薪,上海·浦东新区,3-4年,硕士,"人事
人力资源
五险一金
年终奖金
定期体检
绩效奖金
餐饮补贴
专业培训",上海市第七人民医院,事业单位  |  1000-5000人,医疗/护理/卫生,一线,10000-18000,10000,18000,1000-5000人,事业单位,14000,二级
组织和人力资源部-人力资源管理岗,1.3-2万,杭州·西湖区,1年,本科,"五险一金
补充医疗保险
年终奖金
定期体检
餐饮补贴
专业培训
通讯补贴",财通证券股份有限公司,国企  |  5000-10000人,金融/投资/证券,新一线,13000-20000,13000,20000,5000-10000人,国企,16500,二级
人力资源管理,5-6千,西安·碑林区,3-4年,本科,"人力资源
人资
人事经理
人事总监
工厂
五险
法定假日福利
专业培训
制造生产企业
单双休",多利隆人造草坪集团有限公司,民营  |  150-500人,建筑/建材/工程,新一线,5000-6000,5000,6000,150-500人,民营,5500,四级
人力资源经理/主管,6千-1.2万·13薪,武汉·江岸区,5-7年,本科,"五险一金
工作餐
发展空间大
岗位晋升
通讯津贴",武汉海天实业集团有限公司,民营  |  500-1000人,多元化业务集团公司,新一线,6000-12000,6000,12000,500-1000人,民营,9000,三级
人力资源管理师,5-8千,宜昌,3-4年,大专,"人力资源
人力资源管理
人事主管
人事助理
人事专员
人事经理
节日福利
餐饮补贴
绩效奖金
通讯补贴
五险",湖北三思科技股份有限公司,民营  |  50-150人,仪器仪表/工业自动化,三线,5000-8000,5000,8000,50-150人,民营,6500,四级
人力资源管理（数字板块）,2-3.5万,上海·浦东新区,3-4年,本科,"做五休二
餐饮补贴
定期体检
年终奖金",上海临港新片区投资控股（集团）有限公司,国企  |  500-1000人,建筑/建材/工程,一线,20000-35000,20000,35000,500-1000人,国企,27500,一级
人力资源管理HRBP,1-1.3万,福州,1年,本科,"五险一金
补充医疗保险
通讯补贴
定期体检",中国联合网络通信有限公司福建省分公司,国企  |  5000-10000人,通信/电信/网络设备,二线,10000-13000,10000,13000,5000-10000人,国企,11500,三级
人力资源管理,1-1.5万,深圳,5-7年,本科,"人力资源规划
人力资源管理
五险一金
绩效奖金
年终奖金
包吃包住
专业培训
年休假
员工旅游",深圳市固源塑胶制品有限公司,民营  |  500-1000人,医疗设备/器械,一线,10000-15000,10000,15000,500-1000人,民营,12500,二级
人力资源管理,8千-1万,佛山·南海区,1年,硕士,"人力资源
免费班车
五险一金
定期体检
员工食堂",广东省特种设备检测研究院,事业单位  |  1000-5000人,学术/科研,新一线,8000-10000,8000,10000,1000-5000人,事业单位,9000,三级
人力资源管理,7-8千·13薪,乐山,2年,大专,"人力资源
人力资源体系
劳动法律法规
招聘
培训
薪酬
绩效
带薪年假
节日福利
专业培训
餐饮补贴
通讯补贴
定期体检",成都佛莱维资产管理有限公司,外资（非欧美）  |  少于50人,物业管理/商业中心,四线,7000-8000,7000,8000,少于50人,外资（非欧美）,7500,四级
人力资源管理岗（资产公司）,9.6千-1.2万,上海·黄浦区,8-9年,本科,"五险一金
交通补贴
通讯补贴
餐饮补贴
高温补贴",上海市供销合作总社,国企  |  500-1000人,多元化业务集团公司,一线,9600-12000,9600,12000,500-1000人,国企,10800,三级
人力资源管理,8千-1.2万·15薪,成都,1年,硕士,"人事
人力资源管理
人力资源专员
组织
免费班车
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
七险一金",民航成都电子技术有限责任公司,国企  |  1000-5000人,电子技术/半导体/集成电路,新一线,8000-12000,8000,12000,1000-5000人,国企,10000,三级
人力资源管理岗（湖北黄石）,8千-1.3万,黄石,3-4年,本科,"节日福利
五险一金
绩效奖金
生日福利
餐饮补贴",日丰企业集团有限公司,民营  |  1000-5000人,原材料和加工,四线,8000-13000,8000,13000,1000-5000人,民营,10500,三级
人力资源主管,6千-1万,德州,1年,大专,"培训计划
人力资源规划
企业文化建设
招聘管理
人力资源管理
薪酬核算
工作分析
绩效管理
周末双休
五险一金
带薪年假
全勤奖
节日福利
餐饮补贴
加班补贴",合肥天汇生物科技有限公司,民营  |  150-500人,制药/生物工程,三线,6000-10000,6000,10000,150-500人,民营,8000,四级
人力资源管理,1-1.5万,常州·武进区,5-7年,大专,"人事
人事主管
行政
五险一金
包吃
节日福利",常州神力电机股份有限公司,已上市  |  500-1000人,机械/设备/重工,二线,10000-15000,10000,15000,500-1000人,已上市,12500,二级
人力资源管理,4-5千,佳木斯,3-4年,本科,"周末双休
带薪年假
五险一金
专业培训
加班补贴
节日福利",哈电集团生物质发电（望奎）有限公司,国企  |  50-150人,电气/电力/水利,五线,4000-5000,4000,5000,50-150人,国企,4500,五级
人事专员（人力资源管理岗）,5-7千,舟山,5-7年,本科,"人力资源
培训实施
员工关系管理
招聘
薪酬绩效
周末双休
带薪年假
五险一金
高温补贴
餐饮补贴",光汇石油储运（舟山）有限公司,合资  |  少于50人,石油/化工/矿产/地质,四线,5000-7000,5000,7000,少于50人,合资,6000,四级
人力资源管理专员,7千-1.2万·13薪,宁波·北仑区,2年,本科,"招聘
培训
员工关系
薪酬绩效
人才发展
周末双休
带薪年假
五险一金
包吃
包住宿
绩效奖金
全勤奖
节日福利
加班补贴
高温补贴",宁波弘讯科技股份有限公司,合资  |  150-500人,电子技术/半导体/集成电路,新一线,7000-12000,7000,12000,150-500人,合资,9500,三级
人力资源主管,1-2万,昆山,8-9年,大专,"招聘
员工关系
人才发展
带薪年假
全勤奖
五险一金
节日福利
免费工作餐
提供住宿",康信达科技（苏州）有限公司,民营  |  150-500人,多元化业务集团公司,新一线,10000-20000,10000,20000,150-500人,民营,15000,二级
人力资源专员,4-6千,淮安·洪泽区,2年,本科,"五险一金
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
弹性工作",华强方特（淮安）旅游发展有限公司,民营  |  1000-5000人,酒店/旅游,三线,4000-6000,4000,6000,1000-5000人,民营,5000,五级
人力资源部专员（人力资源管理方向,8千-1.2万,上海·黄浦区,1年,本科,"带薪年假
五险一金
节日福利
绩效奖金
交通补贴
专业培训",上海三联（集团）有限公司,国企  |  1000-5000人,批发/零售,一线,8000-12000,8000,12000,1000-5000人,国企,10000,三级
人力资源主管,7-8千,佛山·南海区,1年,大专,"人事
人事主管
带薪年假
包吃
包住宿
节日福利
加班补贴
社保
员工旅游",佛山市和信商用物业经营管理有限责任公司,民营  |  50-150人,物业管理/商业中心,新一线,7000-8000,7000,8000,50-150人,民营,7500,四级
人力资源专员,4-5千,成都·都江堰市,2年,大专,"人力资源
人事
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
员工旅游",成都威马克户外用品有限公司,民营  |  150-500人,娱乐/休闲/体育,新一线,4000-5000,4000,5000,150-500人,民营,4500,五级
人力资源总监,3-4万·13薪,上海·闵行区,5-7年,本科,五险一金,上海艾尔温生命科技有限公司,民营  |  少于50人,医疗设备/器械,一线,30000-40000,30000,40000,少于50人,民营,35000,一级
人力资源管理专员,7.5千-1万·13薪,宁波·鄞州区,3-4年,本科,"员工关系
薪酬绩效
培训
招聘
五险一金
员工旅游
年终奖金
绩效奖金
交通补贴
定期体检",宁波中威国际物流有限公司,民营  |  50-150人,交通/运输/物流,新一线,7500-10000,7500,10000,50-150人,民营,8750,三级
人力资源经理,8千-1万,中山·石岐区,5-7年,本科,"人才管理
带薪年假
五险一金
绩效奖金
专业培训
餐饮补贴",中山市简居家庭用品有限公司,民营  |  150-500人,家具/家电/玩具/礼品,二线,8000-10000,8000,10000,150-500人,民营,9000,三级
人力资源管理,5千-1万,商丘,无需经验,本科,"五险一金
员工宿舍
员工食堂",牧原食品股份有限公司,已上市  |  10000人以上,农/林/牧/渔,三线,5000-10000,5000,10000,10000人以上,已上市,7500,四级
人力资源管理,5-6千,青岛·黄岛区,2年,大专,"五险一金
节日福利
高温补贴",青岛昌隆文具有限公司,合资  |  1000-5000人,办公用品及设备,新一线,5000-6000,5000,6000,1000-5000人,合资,5500,四级
人力资源专员,7千-1.3万·13薪,深圳·宝安区,3-4年,大专,"招聘
培训
考勤
员工关系
薪酬绩效
五险一金
餐饮补贴
通讯补贴
出国机会
年终奖金
绩效奖金
弹性工作
员工旅游
节日福利
员工活动",泰盛能源技术有限公司,民营  |  少于50人,贸易/进出口,一线,7000-13000,7000,13000,少于50人,民营,10000,三级
人力资源管理,8千-1万,威海,2年,本科,"五险一金
出国机会
专业培训
交通补贴
通讯补贴
日常福利",威海市海王旋流器有限公司,民营  |  150-500人,机械/设备/重工,三线,8000-10000,8000,10000,150-500人,民营,9000,三级
人力资源主管,3-5千,沈阳,3-4年,本科,"五险一金
员工旅游
专业培训
出国机会
绩效奖金
年终奖金
股票期权
定期体检",沈阳每利科技股份有限公司,民营  |  150-500人,计算机软件,二线,3000-5000,3000,5000,150-500人,民营,4000,五级
人力资源负责人,3-5万,上海·浦东新区,5-7年,本科,"五险一金
带薪年假
节日福利
年终奖金",卜蜂莲花企业管理有限公司,外资（非欧美）  |  10000人以上,批发/零售,一线,30000-50000,30000,50000,10000人以上,外资（非欧美）,40000,一级
人力资源经理,5-6.5千,黄石,3-4年,大专,"通讯补贴
餐饮补贴
专业培训
绩效奖金
五险一金",湖北佳佳惠商贸有限公司,合资  |  500-1000人,快速消费品(食品、饮料、化妆品),四线,5000-6500,5000,6500,500-1000人,合资,5750,四级
人力资源专员,4.5-6.5千,昆明,2年,本科,"人力资源
绩效管理
员工培训
薪酬核算
餐饮补贴
周末双休
团建活动
下午茶
五险一金
年终奖金
绩效奖金
节假日福利
生日福利",云南立翔科技股份有限公司,民营  |  50-150人,计算机软件,二线,4500-6500,4500,6500,50-150人,民营,5500,四级
