职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
物业管理经理,嘉兴市雅达绿城物业服务有限公司,6-8千,无锡-宜兴市,本科,2年经验,五险一金,物业管理/商业中心,1、中层管理职位，负责其功能领域内主要目标和计划，制定、参与或协助上层执行相关的政策和制度；2、负责部门的日常管理工作及部门员工的管理、指导、培训及评估；3、负责制定各项目生产计划；4、组织、协调和管理外协生产资源，保证生产按时保质完成；5、负责协调、组织解决生产中的所有问题；6、负责外协生产厂家的商务结算。任职资格：1、本科及以上学历，管理类相关专业；2、2年以上项目管理经验；3、良好的计划和执行能力、协调能力和人际沟通能力；4、积极主动，具备团队意识，具有高度的责任心，能够承受较强的工作压力。40周岁以内,民营  |  500-1000人
金融管理培训生,中国平安人寿保险股份有限公司四川分公司,20-38万/年,成都-武侯区,本科,2年经验,中国平安人寿保险股份有限公司四川分公司,保险,一、技能要求：部门管理，团队建设，决策能力，领导力通过完善的培训机制，掌握公司最基本的业务流程，工作开展模式，达到考核要求后，对所属团队进行基础管理，规模扩展，绩效管理，达到公司要求。二、岗位要求：1、2年以上工作经验；2、有服务行业、销售行业等管理经验优先；3、具有较强的学习能力和良好的沟通技能技巧；4、对工作有较高热情，敢于挑战更高的工作目标；三、岗位职责：1、积极参加公司全方位学习培训，打造较强的业务能力；2、结合公司提供的资源，扩展团队规模，提升团队业绩；3、团队管理，保证团队健康稳定发展。四、晋升空间：储备经理-营业部经理-总监，公司提供公平晋升通道五、收入福利：1、训练津贴、管理津贴、达成奖、年终奖、辅导奖、超额完成奖等；2、晋升空间不受限制，良好的发展路线;3、享有长期养老津贴；4、享有长期团队管理，营销知识，技能等专业培训；5、可成为平安的专职培训讲师。六、可以带领团队做什么平安***（综合金融客户经理），能为客户销售或引荐平安旗下所有金融业务，涵盖银行、保险、投资业务。银行业务：借记卡、信用卡、贷款、理财产品、ETC等等保险业务：>>车险、企业财产险、家庭财产险、店家险......>>团体意外险、企业补充商业医疗保险......>>健康医疗保险、大病保险、少儿保险、教育金规划、养老金规划......等等涉及保险的各个分类投资业务：>>平安证券>>平安大华基金>>平安信托>>平安好房依托平安综合金融平台，走到哪，都有您能帮助到的客户，都有您能办理的业务！中国平安真正实现了“一个账户、一套密码、多个产品、一站式服务”。业务多元化，收入多元化，所有业务都能给你带来收入！！七、福利及待遇：1、周一到周五每天上午8:30-10：30参加早会培训分享交流，双休加国家法定节假日统一放假。2、服务奖金、续年度服务津贴、继续率奖金、养老金，季度奖，年终奖等；平安在2018年重磅推出“鹏程”计划，经过专业流程培训，用最快九个月时间晋升平安综合金融主管，收入上万轻轻松松！3、享有意外保险、定期寿险和住院医疗保险，家属百万医疗等五大综合保障；4、国内外免费旅游方案。,民营  
管理培训生,南宁千霸科技有限公司,4.5-7千,南宁-兴宁区,03-06发布,无需经验,五险一金,批发/零售,,民营  |  50-150人
物业管理经理,禾乐合众置业有限公司,8千-1.5万,佛山-南海区,大专,5-7年经验,五险一金,房地产,,民营  |  50-150人
经营管理经理,中久装备智能科技有限公司,1.3-1.7万·14薪,上海-杨浦区,本科,5-7年经验,项目管理,交通/运输/物流,岗位职责：1、根据公司战略目标，组织各部门对目标进行层层分解工作，按分解的经营目标组织编制年度经营计划；2、组织制定公司各部门绩效，对关键绩效指标的提取、落实及实施分析，促进组织经营绩效目标的达成；3、组织公司管理体系的搭建，建立和完善公司管理制度、流程及管理要求，贯彻落实公司体系的管理政策，做好指导、监督、检查工作；4、负责组织召开公司月度经营管理等例会的召开，对工作目标进行总结评估，并对后续改进方案的落地进行跟踪落实；5、跟进公司经管会各项事务处理及落实，对公司经管会决策做好上传下达；6、负责项目管理整体体系的搭建，能及时识别项目风险及出相应措施；7、负责了解政府对企业相应扶持及专项支持项目，组织及协调项目的申报。岗位要求：1、本科及以上学历，5年以上相关工作经验；2、严谨踏实、责任心强、有担当、有全局把控能力；3、具有较强的判断、沟通、协调能力，能够及时发现并解决工作中的问题；4、具有较强的材料撰写能力。,民营  |  500-1000人
运营管理经理,广州金融科技股份有限公司,1.5-1.6万,广州,本科,5-7年经验,运营管理,金融/投资/证券,岗位职责1、负责搭建与完善司法调解运营管理体系，组织开展运营管理工作，确保司法调解工作合规高效运行；2、负责搭建司法调解项目各级运营目标管理体系，督导业务进程；3、负责设计与编撰司法调解各项业务制度、流程、规范、指引；4、负责搭建与监测司法调解运营指标体系；5、负责组织编撰司法调解案件管理系统需求，推动科技赋能，提升运营效率；6、负责管理运营团队，组织培训发展，打造凝聚力与战斗力双强团队。任职要求1、本科及以上学历，法律、金融、工商管理等相关专业优先；2、有五年以上大中型零售信贷风险资产管理经验，具备外包机构管理经验或团队管理经验；3、具备良好的组织协调能力、沟通能力和团队合作能力；4、熟练运用各类办公软件,国企  |  50-150人
资产管理部  副部长（主持工作）,航天科工武汉磁电有限责任公司,20-25万/年,武汉,本科,5-7年经验,周末双休,石油/化工/矿产/地质,一、招聘岗位及职责资产管理部副部长（主持工作）1人主要岗位职责：1.全面负责资产管理部工作。2.负责公司条件能力建设的管理。公司固定资产投资项目全寿命周期的组织、协调管理。3.负责固定资产、关键设备论证、设备设施维护的管理。4.负责技改项目的申报、管理及实施。5.负责基建项目的组织、管理与实施。6.负责业务范畴内的招投标工作的管理。7.负责固定资产、外协外购、协外配套、业务范畴内的服务类等招采及管理。8.负责公司仓库的管理工作。二、应聘人员基本条件1.拥护党的路线、方针、政策，遵守国家法律、法规及集团公司相关制度，热爱航天事业。2.具有良好的心理素质及正常履行职责的身体条件，无不良嗜好。3.具有满足申报岗位所需的专业能力或经验；具有较强的执行力及协调、沟通能力，组织管理能力，处理复杂问题和突发事件的能力，开拓创新精神和市场意识强。4.本科及以上学历，工科类、管理类专业，具有相关行业背景及管理工作经验。5.符合公司领导干部任职年限要求，累计相关岗位三年以上工作经历，具备下一层级或其他单位同层级岗位三年以上的工作经历。同等条件下，航天科工系统内人员优先考虑。6.中共党员，年龄不超过45岁，身体健康。三、其他招聘程序分为报名、资格审查、面试和笔试、综合考察四个阶段。通过各阶段审查人员将以短信或电话形式通知照公司有关规定签订劳动合同。,国企  |  150-500人
高级管理,杭州利邦企业管理咨询有限公司,30-40万/年,杭州-拱墅区,大专,3-4年经验,管理,专业服务(咨询、人力资源、财会),,民营  |  少于50人
管理培训生,江苏南顺食品有限公司,5-9千·13薪,常州-金坛区,本科,1年经验,保险,快速消费品(食品、饮料、化妆品),岗位职责1、结合个人发展意愿及公司安排，从生产、研发、工程方面培养；3、按照各个岗位职责完成工作任务，并阶段性进行工作学习总结；4、完成领导交给的其他工作。任职资格1、2022后优秀毕业生或具备1-3年工作经验的优秀人才;大学本科及以上学历；2、具备高度的工作热情，积极主动，有良好的服务意识，团队协作性强，尽职担责；3、具备优秀的领导力潜质或专业技术，有优秀的学习能力、人际沟通能力、分析解决问题能力等；4、专业不限，热爱销售推广和团队管理，对高压力快节奏的营销类工作充满兴趣及相关工作经验优先。,外资（非欧美）  |  150-500人
物业管理主管（商业、产业园）,上海闵行房地（集团）有限公司,1.4-1.7万,上海-闵行区,本科,5-7年经验,带薪年假,房地产,岗位职责：1、负责所管项目的全面工作，安全生产、消防安全为工作重点；2、负责拟订项目年度工作计划和工作总结，负责质量管理体系的建立和实施；3、负责项目年度物业成本测算及年终结算工作；4、负责项目物业管理工作的运行，全面掌握客服、保安、保洁、维修等日常工作，并合理安排各项工作有序进行。组织、实施日常工作的指导、检查、监督和考核；5、负责接待辖区重大投诉，及时有效组织对投诉的处理，并向业主反馈处理意见和结果；6、负责与业户沟通、协调，了解业户对物业服务的意见和建议；7、负责协调公司重大活动的接待、配合工作；8、组织对管理重点项目的巡视，发现问题及时处理；9、负责员工的管理、指导、培训及评估；10、完成公司领导交办的其他工作。任职要求：1、具有非居住项目（园区类、商业类）工作经验优先；2、具备全国注册物业管理师证书或高级物业经理证书优先；3、具有大型非居住项目管理经验，担任过项目经理者优先；4、熟悉物业管理法律法规及市场发展趋势；5、具备消防安全、产业管理和物业设施设备的相关知识；6、具备一定的财务管理经验者优先。特别优秀者可适当放宽学历、专业等条件***（有竞争力的薪资）福利:五险一金+补充住房公积金高温津贴+劳防费+劳防用品提供工作午餐+员工旅游+带薪年休假如有意向，请登录“上海闵行房地集团”官网，点击“加入我们”，按要求投递简历。,民营  |  50-150人
食堂管理员,深圳市卓越物业管理有限责任公司,6-8千·13薪,广州-番禺区,大专,1年经验,食堂,物业管理/商业中心,1.负责职工食堂的日常管理工作;2.负委检查食堂卫生、用餐器县消毒情况，确保用餐安全，不发生食物中毒事故，并控制卫生消毒用品、洁县的耗用;3.对餐厅运营商进行日常监管及考核，确保员工用餐健康安全，持续提升现场服务，监督厨房设备供应商的维保工作，确保设备支全运行;4.及时安排并完成行政部临时下达的客饭或领导宴请任务.任职要求1年龄30岁以下，大专及以上学历两年以上团餐饮管理T作经验，具有团餐行业经验优先;2.能够熟练使用电脑及相关办公软件（Word、Excel）;3.持有高级食品安全管理员证书;4.熟悉食品卫生管理条例、安全生产条例、厨房管理规范等相关法律法规;5.有较闻的逻辑性、抗压性及实发事件处理能力，具备良好的服务意识、沟通能力、协调能力，有贡任心和职业道德。薪资：上班时间：***休息，8:30-12:0013:00-19:00；薪资待遇：6000-8000元，13薪；福利:包住、五险一金、员工旅游、年度体检、过节费等。,民营  |  5000-10000人
直播内容质量资深管理岗,字节跳动,1.2-2.5万,天津,本科,3-4年经验,下午茶,互联网/电子商务,职位描述：1、负责所在业务部门的人员管理和业务管理工作，保障业务指标达成和团队运营协作顺畅。2、挖掘业务部门现存问题，持续优化业务流程，统筹业务发展，持续业务满意度和团队影响力。3、负责协调业务部门内、外部资源，创新业务范围，产出数据化分析报告，为整个业务部门提供策略性支持。4、负责团队日常管理及员工培养，挖掘优秀人才，持续提升团队专业技能。5、跨团队协作，持续沟通，保持业务指标对齐和提升合作满意度职位要求：1、本科及以上学历，有过3年以上百人团队管理相关工作经验，包括内容质量团队管理、客服团队管理、或安全运营相关团队管理经验；2、具备较强的数据分析、风险识别与控制能力，善于挖掘问题，及时跟进业务需求；3、具备出色的逻辑能力，沟通能力和判断力，能够有效推动跨部门沟通协作；4、抗压能力强，思维活跃，能迅速适应互联网行业工作节奏。,民营  |  10000人以上
酒店管理总监,无锡市赛博旅游文创有限公司,1.8-2.5万,重庆-巫山县,大专,5-7年经验,无锡市赛博旅游文创有限公司,物业管理/商业中心,岗位职责：1全面负责酒店的经营管理，领导各部门员工完成酒店的各项计划目标；2围绕公司下达的利润指标和各项工作，编制酒店的预算和决算，严格控制经营成本；3负责酒店团队的建立，提高整个酒店的服务质量和员工素质；4根据市场变化和发展，制定切实可行的市场营销工作策略，并组织实施和有效控制；5全面负责安全管理，抓好食品卫生、治安安全等工作，确保客人和员工的人身、财产安全；6与公司、加盟业主进行日常的沟通协调工作，确保信息畅通、有效；7负责维护好酒店的外围关系，抓好重要客人的接待工作，塑造良好的内、外部形象；8关心员工思想和生活，不断改善员工的工作条件；9完成公司交办的其他工作。任职要求：1大专及以上学历；2有酒店行业5年及以上的全面管理经验，28-43岁，有江浙一带网红酒店或精品民宿酒店经验者优先；3具有良好的职业道德，较强的沟通协调和应变能力，较强管理和团队建设能力；4原则性强，执行力较好；有良好的抗压能力，能出色完成公司下达的各项指标；5认同集团企业文化核心价值观，有很强的服务意识、学习能力和工作责任心；,民营  |  50-150人
储备管理体系审核员(社保),河南讴路企业服务有限公司,4.5-6千,郑州-中原区,本科,3-4年经验,储备干部,检测，认证,岗位职责：1.及时完成公司公司客户审核前的资料编写工作，指导企业做好审核前的准备，注意事项。2.根据认证决定工作人员的意见修改和完善审核资料等工作。3.积极参加公司安排的现场陪审工作；4.积极参加公司安排的有关培训工作；任职资格：1.本科及以上学历（本科，土木工程、建筑相关专业优先。如已具备审核员资格忽略）；2.4年以上技术或管理岗位工作经验；3.工作适应能力强，时间观念强；4.尊重和维护公司的形象、声誉和利益；5.熟悉计算机的基本操作；6.能适应出差。职业发展规划：入职-孵化-培训-考试=正式审核员入职后利用公司现有平台和资源，进行充分的学习和孵化。公司不定时组织有关专家进行专业性的培训。到时间后公司送你去考试，合格后成为公司的正式审核员。体系类型：ISO9001/ISO14001/ISO45001/GB/T50430级别审核员与实习审核员均可投递。,民营  |  少于50人
