公司名称,职位名称,薪酬,城市地区,经验要求,学历要求,公司名称.1,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值
辽宁格林希尔医疗科技有限公司,财务会计,3-5千,本溪,3-4年,大专,"会计
财务
出纳
审计
税务
社保
五险一金
交通补贴
餐饮补贴
绩效奖金
弹性工作
定期体检
年终奖金",民营  |  50-150人,医疗设备/器械,本溪,3000-5000,3000,5000
邵阳市舒康美家具有限公司,结算会计（地点：桂阳县）,4-6千,郴州,2年,大专,"工资结算
产量提成奖励
五险一金
员工旅游
专业培训
绩效奖金
年终奖金",合资  |  150-500人,家具/家电/玩具/礼品,郴州,4000-6000,4000,6000
广州市途喜国际旅行社有限公司,会计专员,4-6千,广州·海珠区,1年,大专,"会计
带薪年假
五险一金
全勤奖
节日福利
绩效奖金
专业培训
员工旅游
周末双休",民营  |  50-150人,酒店/旅游,广州,4000-6000,4000,6000
广东臻善律师事务所,税务会计,7千-1万,东莞·南城区,3-4年,本科,"税务
五险一金
绩效奖金
交通补贴
朝九晚六
带薪年假
节日福利
晋升空间
定期培训
双休",民营  |  150-500人,法律,东莞,7000-10000,7000,10000
武汉顶耀贸易有限公司,税务会计,6.5-7千,武汉·硚口区,3-4年,本科,"财务
会计报表
绩效奖金
员工旅游
五险",民营  |  500-1000人,服装/纺织/皮革,武汉,6500-7000,6500,7000
广州卡歌堡贸易有限公司,Accounting Officer/会计,9千-1.1万,广州,5-7年,大专,"会计
财务
Ａccounting
做五休二
社保",外资（欧美）  |  少于50人,贸易/进出口,广州,9000-11000,9000,11000
东莞极飞无人机科技有限公司,全盘会计成本会计,8-9千·13薪,东莞·大岭山镇,3-4年,大专,"包食宿
五险一金
大小周工作制
绩效奖金
年终奖金
餐饮补贴
住房补贴
员工旅游",民营  |  500-1000人,电子技术/半导体/集成电路,东莞,8000-9000,8000,9000
南京嘉能食品有限公司,应收会计,4.5-6千,南京·雨花台区,2年,大专,"会计
出纳员
财务出纳
绩效奖金
节日福利
五险一金
高温补贴
通讯补贴
交通补贴
餐饮补贴",民营  |  50-150人,快速消费品(食品、饮料、化妆品),南京,4500-6000,4500,6000
西安晶捷电子技术有限公司,会计助理,3-6千,西安·高新技术产业开发区,1年,大专,"年终奖金
绩效奖金
员工旅游
五险一金
加班补贴
全勤奖
节日福利
带薪年假",民营  |  150-500人,电子技术/半导体/集成电路,西安,3000-6000,3000,6000
江门泽珩数码科技有限公司,财务会计/主管,6-9千,江门·新会区,3-4年,本科,"会计
五险一金
节日福利",民营  |  150-500人,贸易/进出口,江门,6000-9000,6000,9000
凯联医疗科技（上海）有限公司,财务会计,6-9千·13薪,上海·浦东新区,1年,大专,"会计
五险一金
餐饮补贴
定期体检
弹性工作",合资  |  50-150人,医疗设备/器械,上海,6000-9000,6000,9000
江西赣诚实业有限公司,会计（上饶上班）,6-8千,上饶,2年,大专,"会计
财务报表
税务
建筑业
会计证
财务预算
会计报表
财务
审核
会计法规
包吃住",民营  |  50-150人,建筑/建材/工程,上饶,6000-8000,6000,8000
山东金帝精密机械科技股份有限公司,融资会计,4.5-8千,聊城,2年,大专,"免费班车
员工旅游
专业培训
通讯补贴
餐饮补贴
提供住宿
五险一金",民营  |  1000-5000人,机械/设备/重工,聊城,4500-8000,4500,8000
上海延中饮料有限公司,成本会计,1-1.5万,上海·宝山区,1年,本科,"成本分析
五险一金
绩效奖金
全勤奖",民营  |  150-500人,快速消费品(食品、饮料、化妆品),上海,10000-15000,10000,15000
信联智翊科技（苏州）有限公司,财务主办会计,8千-1.2万,苏州·吴江区,3-4年,大专,"会计
财务
财务管理
总账会计
财务主管
主办会计
带薪年假
包吃
包住宿
绩效奖金
全勤奖
节日福利
五险
生日福利",民营  |  50-150人,原材料和加工,苏州,8000-12000,8000,12000
佛山市五仁餐饮管理有限公司,会计,4-5千,佛山,2年,本科,"会计
全盘账务
员工旅游
绩效奖金
年终奖金
餐饮补贴
社保齐全
带薪年假
晋升空间大
专业培训",民营  |  1000-5000人,餐饮业,佛山,4000-5000,4000,5000
成都远大商业管理有限公司,管理会计专员,6-7千,成都·高新区,2年,本科,"预算
费用报销
资产管理
报销
税务
五险一金
餐饮补贴
年终奖金
定期体检
专业培训",民营  |  500-1000人,物业管理/商业中心,成都,6000-7000,6000,7000
深圳市衡亿安科技有限公司,全盘会计,8千-1万,深圳·龙华区,3-4年,本科,"财务
会计
金蝶
财务软件
五险一金
专业培训
提供住宿
提供吃",民营  |  500-1000人,仪器仪表/工业自动化,深圳,8000-10000,8000,10000
