职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
会计（金融投资板块）,四川众欣旅游资源开发有限公司,7-8千·13薪,,,,应收回款,建筑/建材/工程,,民营  |  150-500人
总账会计,乐鑫信息科技（上海）股份有限公司,7千-1万,,,,成本核算,互联网/电子商务,,外资（欧美）  |  150-500人
应收会计/销售会计,堡尼服饰（BONI）,7千-1万,,,,审计,家具/家电/玩具/礼品,,民营  |  50-150人
主办会计,杭州西奥电梯现代化更新有限公司,5千-1万,宁波,大专,1年经验,财务,原材料和加工,任职资格1、大专以上学历，会计相关专业.2、1年以上工作经验，优秀应届毕业生亦可,民营  |  500-1000人
会计,深圳市兴一欣欣控股有限公司,4-8千,合肥-长丰县,本科,1年经验,会计,专业服务(咨询、人力资源、财会),岗位描述：储备，财务部各个岗位轮岗。任职资格：1.***本科及以上学历，会计、财务等相关专业，有初级会计资格证书；2.善于处理流程性事务、良好的沟通能力；3.工作细致，责任感强，良好的团队合作精神。优秀的福利待遇：1.基本工资、绩效工资、餐补、年终奖、满勤奖等；2.健康体检、带薪年假，入职即缴纳五险；3.每年均有调薪机会；4.公司有食堂，活动室、健身房等福利设施；5.提供住宿（一室一厅），热水器、空调一应俱全。具体以约定为准。,民营  |  150-500人
会计,长九实业集团有限公司,3千及以下,苏州,本科,3-4年经验,五险一金,专业服务(咨询、人力资源、财会),,民营  |  少于50人
会计+双休,陕西中睿实业有限公司,6-8千,昆山,大专,3-4年经验,财务,建筑/建材/工程,会计任职要求：1.财务、会计或相关专业专科以上学历，持有会计人员上岗证；2.具有3年以上财会、核算经验，有生产制造企业财务部工作经验；3.能独立完成公司的相关年检工作，熟悉税务申报和账务处理业务，独立处理公司全盘账务；4.熟悉日常进出口贸易税务流程；5.工作认真负责，有良好的沟通力和协作精神。,民营  |  少于50人
总账会计,湘潭牵引机车厂有限公司,6-9千,宁波-余姚市,本科,1年经验,泸州巴蜀液酒业（集团）有限公司,制药/生物工程,1.负责业务的会计凭证编制2.负责公司对外税务工作3.负责财务工作的审核4.负责成本核算及结转5.对研发费用进行任职资格1、财会、审计专业本科及以上学历；2、至少1年财务管理工作经验；3、熟练使用财务软件，特别是EXCEL。,已上市  |  1000-5000人
成本会计,苏州莱能士光电科技股份有限公司,8-10万/年,成都,大专,无需经验,绩效奖金,专业服务(咨询、人力资源、财会),职位名称：会计、主管会计、会计助理、会计专员用人部门：会计部招聘人数：10人用人计划：2023年你在求职一份会计工作？如果没有瞎找工作，我估计你思考过下面的问题：1、网上公司那么多，随便去一家公司你又不了解，出了事情结果要你这个会计来背锅担责？2、来成都发展，老板啥子饼都给你画了，就是不提社保和公积金，没什么安全感、归属感？3、公司你的周围都是干其他岗位的人，没啥共同语言担心自己的融入和成长不如同龄人？如果你被我猜中了，那么请你继续看：1、我们公司是一家专业的企业外部财税咨询机构，有成都市财政局的许可证书护体，只对企业老板交给我们的各项凭证和数据进行处理和纳税申报，并不需要像专职会计一样在公司办公并对公司财务情况和实际数据负责。从业务结构上，就帮你从根本上杜绝了当专职的会计，要是摊上事了，税局先抓老板然后就抓会计的背锅风险。这就不细说了，搞财务、会计的人都懂。2、试用期当月就给你上社保，转正当天就有住房公积金。你不用去对比了，在我们会计咨询这个行业，我们是独一家。当然，我们这样做，可能坏了点行规，所以，你懂的，网上难免会有点我们的风凉话。人事小哥必须在此再次强调，试用期当月就给你上社保，转正当天就有住房公积金！毕竟小哥觉得，只有在愿意给你职场安全感的团队和公司，你自己才能放心的认真做事。3、我公司可以说就是会计人的主场，会计同事要占公司同事总数的80%以上，光是会计就差不多有百把人了，你有任何会计专业上的问题，甚至只有会计人互相才能理解的八卦，理论上都可以和身边的人沟通得来。有点健硕的HR小哥提点要求不过分吧？1、本岗位有会计和企业服务同业工作经验为佳，同时接受各院校应届毕业生应聘，但需专业及沟通能力较强。2、本岗位暂不接受“其他行业转为会计”的求职者应聘，请选择其他我们可以接受的岗位。3、公司不是学校，希望求职的你明白，随便哪个人的的薪酬收入都来至于自己创造的价值与社会公允价值的比较和交换，千万别抱着学习的心态来应聘，大家都是学生时代过来的，别以为我不知道？你倒给钱专职当学生的时候尚且翘课、看网络小说、打游戏、谈恋爱、挂科、补考……，到我们公司就焕然一新，重新做人？不要豁我！4、学习和成长，真是你自己的事情，我公司不太能接受不去主动提高自己，却时常说“在公司学不到东西”的人，希望这类朋友，请左拐到其他公司求职应聘，感谢你，请你吃饭。5、身体总要健康嘛，当然你的入职体检是免费的，都是我们公司给钱，即便来应聘一次，赚一次免费体检也不错。6、最后我重复一次，千万请你别抱着学习的心态来工作，你在公司的发展和收入，都来至于你可以为团队创造的价值，否则，根据我们的经验，把工作当学习的这样心态，确实发展不好。人事小哥最后说两句：你投递简历后，我们会安排一次小小的“笔试”。这套笔试是我们公司这几年结合数百名会计职业发展和工作实践总结开发出来的。投递简历即可参加这次笔试。所以，速度点击“投递”申请职位，快来测测你的会计工作潜力是多少分吧？,民营  |  少于50人
会计,广东青筑科技有限公司,6-8千,上海-浦东新区,本科,3-4年经验,财务,快速消费品(食品、饮料、化妆品),岗位职责:任职资格:,民营  |  50-150人
