职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
大气治理项目数据分析师（实习生）,康姆德润达（无锡）测量技术有限公司,2.5-5千,宿迁,本科,在校生/应届生,01-30发布,50-150人,外资（欧美）,仪器仪表/工业自动化,西长安街88号中国人保大厦，朝阳区建国门外大街2号中国人保财险大厦,1、本科学历（实习），理工科专业背景，环境、气象相关专业优先。2、有较强的数据分析能力及逻辑思维能力，掌握Word、Excel编辑能力，熟练应用函数及相关的统计分析工具。3、学习能力强，具有敬业精神。岗位职责1、结合多渠道，关注各站点、各类污染数值，实时推送、分析。发生突发高值时，立即上报，并分配租员开展走航工作。2、利用专业知识或项目经验为走航工作方向性引导，为编写报告提供数据支持。3、每日汇总计算，按要求给出相关数据，保证及时，准确。4、结合现有数据、图像信息和实际情况，初步分析污染成因，提出基本管控措施，并对未来污染情况进行预判。5、与甲方进行工作上的沟通协作，为甲方提供专业化的分析与导向。6、协助编写环境治理、大气污染专项分析或总站报告。7、适应不定期多日出差，定期驻场。8、对项目数据信息负有保密义务。,外资（欧美）  |  50-150人
数据分析专员（2023届）,牧田（中国）有限公司,8-12万/年,昆山,本科,在校生/应届生,01-30发布,5000-10000人,外资（非欧美）,机械/设备/重工,北滨河西路鲁商大厦11F,工作内容：1、为推进办公无纸化，提出IT化的改善；2、运用VBA编程程序优化现有的工作内容。资格要求：1、本科学历；2、需求专业：计算机科学与技术\软件工程\物联网工程\网络工程\数据科学与大数据技术等计算机类相关专业。,外资（非欧美）  |  5000-10000人
临床数据分析,武汉致众科技股份有限公司,5千-1万,武汉-洪山区,本科,在校生/应届生,01-30发布,150-500人,民营,医疗设备/器械,人民路,,民营  |  150-500人
数据分析师（FAT）（实习）,上海联和金融信息服务有限公司,150元/天,上海-长宁区,本科,在校生/应届生,01-30发布,150-500人,国企,计算机服务(系统、数据服务、维修),两江新区水土京东方大道388号,1、参与数据治理规划、制定实施方案，并负责数据治理项目的整体推动；2、深入研究数据治理、数据分析、数据应用等核心技术，以数据驱动推动业务发展；3.负责开展各领域的深入调研，参与科技创新各领域相关课题研究，完成研究报告；4、为金融机构、实体企业、政府机构等多领域提供数字化转型咨询服务，梳理业务流程，寻找业务数字化机会，制定项目计划并组织实施。职位需求：1.国内外***本科及以上学历的在校生，专业不限，理工科背景优先；2.思维敏捷、逻辑清晰，具备较强的团队意识和创新意识；3.具备良好的沟通协调能力、优秀的市场研究和分析能力；4.具有良好的英语书面和口头表达能力，有相关英语证书者优先；5.熟练使用office办公软件，掌握R、SQL、Python等分析软件或语言者优先；6.每周至少到岗4天。,国企  |  150-500人
数据分析管培生(J10170),上海魔域投资管理有限公司,8千-1万,上海-闵行区,本科,在校生/应届生,01-30发布,1000-5000人,外资（非欧美）,租赁服务,科灵路88号,工作职责:1.	负责对行业主营模式数据建模，剖析业务经营现状，推演关键指标趋势，研判对应时间点应采取的经营策略，提供强有力的决策依据2.	负责专项课题研究，通过数据分析寻找规律、相关性、量化关系，撰写分析报告从而指导业务3.	协同完成日常经营汇报&数据报表支持4.	主导部分系统功能开发涉及到的逻辑框架及上线推进任职资格:1.	数学类相关专业本科以上学历，留学背景优先2.	具备较强的逻辑能力，喜欢发散思维去解读数字，能通过数据分析业务，预测业务趋势3.	具备较好的框架性思维能力，有一定的数据建模能力4.	能熟练使用excel及至少1个数据分析软件工具（如SPSS）,外资（非欧美）  |  1000-5000人
组件制造中心数据分析培训生(018320),隆基乐叶光伏科技有限公司,7千-1.1万,,,,01-30发布,10000人以上,民营,新能源,嘉昱大厦A座锦业一路,,民营  |  10000人以上
数据分析实习生,辰诺（上海）国际贸易有限公司,4-5千,上海,大专,在校生/应届生,01-30发布,少于50人,民营,快速消费品(食品、饮料、化妆品),金丽豪苑512,数据分析相关工作熟练运用excel,民营  |  少于50人
临床数据分析实习生,珀金埃尔默企业管理（上海）有限公司,150元/天,上海-浦东新区,本科,在校生/应届生,01-30发布,1000-5000人,外资（欧美）,医疗设备/器械,南城天安数码城A1栋210,"Responsibilities:-Analyze,synthesize,andinterpretclinicaldata-Assistinprojectexecutionfromrequirementanalysis,changeanalysis,qualityassuranceanddocumentationRequirements:-Bachelororhigherdegreesinpharmacology,medical,biological,lifescience,andotherrelatedarea-Analyticalskillsandunderstandingofhowtointerprettocustomer-Basicprogrammingskillsin:Python,R,orSAS-KnowledgeofrelationaldatabaseandSQLqueriesisaplus-Detailorientedandproactiveisaplus",外资（欧美）  |  1000-5000人
数据分析实习生,上海资信有限公司,150元/天,上海-黄浦区,本科,在校生/应届生,01-30发布,150-500人,国企,金融/投资/证券,广州国际生物岛螺旋四路7号 标准产业单元二期 3栋602单元,工作内容及职责：协助完成征信产品研发、数据分析等方面工作。任职要求：1.学历、专业：本科、硕士在校生；统计学、数学、计算机相关专业；2.专业知识、技能：（1）有一定数据处理、数据分析、数据挖掘的经验与能力；（2）至少熟悉1种统计建模工具的使用（SAS、Python、R等）；（3）具备良好的团队合作精神，能够承受一定工作压力；（4）保证一周4天及以上出勤，实习期至少3个月。,国企  |  150-500人
营运岗--数据分析（2023应届生）,华润置地（长春）有限公司,7-9千,长春-南关区,硕士,在校生/应届生,01-30发布,150-500人,国企,房地产,嘉昱大厦A座锦业一路,岗位工作职责：1、统筹各部门完成项目整体的月报、季报、半年报、年报等报告，分析项目整体及业种店铺经营情况。2、针对节假日、大型活动节点形成专项经营分析报告。3、统筹把控项目整体零售额和取高租金预算目标制定、店铺零售额和取高租金分解。4、统筹各部门完成年度预算制定、业绩达成情况跟踪、滚动预算更新等工作。5、组织进行市场及竞品调研，形成分析报告。6、完成各项经营专题研究，完成各类临时分析任务、数据报表、经营报告等。7、统筹会员数据分析与会员画像工作，覆盖消费者研究内容。任职要求：2023届应届毕业生，统计学、经济学相关专业。,国企  |  150-500人
