职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司标签,工作地点,职位描述或任职要求,规模类型
数据分析初级工程师（2023届）,福建新大陆软件工程有限公司,8千-1.5万,北京-海淀区,本科,在校生/应届生,01-31发布,通信/电信运营、增值服务,益华国际广场,工作职责:1、对海量业务数据进行导入并诊断、汇总、分析、呈现BI分析报告，从数据中挖掘和整理客户行为特征，满足建模研究的需要；2、分析业务问题，通过应用统计学的相关理论、数据挖掘模型、机器学习方法建立数据模型，为用户的业务发展、产品策略、市场活动、风险管理等提供决策支持；3、能够按照项目经理要求完成项目实施。任职资格:1、本科及以上在校生，数学、统计、经济学、商业分析、计算机等相关专业；2、实习期不少于3个月，实习期间每周出勤不少于4天；3、掌握回归、时间序列、决策树等数据挖掘常用算法和基本理论；4、具有良好的逻辑思维、学习能力和数据敏感度；5、善于团队合作，具备良好的沟通表达能力和理解能力6、具备Python、SAS、SQL、powerBI、帆软等数据分析及可视化软件使用经验者优先；7、校内外参与数据分析建模相关项目或者大赛获奖者优先。,民营  |  500-1000人
大气治理项目数据分析师（实习生）,康姆德润达（无锡）测量技术有限公司,2.5-5千,长沙-开福区,大专,在校生/应届生,01-31发布,仪器仪表/工业自动化,新动力金融科技中心C座5层,"一、岗位职责：1、负责行业研究和潜在投资机会研究，筛选符合要求的投资项目；2、进行投资项目的市场调研、数据收集和可行性分析；3.协助各类商品产业链期、现货板块行业研究；研发交易策略并进行可操作性分析4.主导基础数据分析和数据挖掘；通过分析数据发现规律；产生数据统计分析的报表、图表等可视化展现方式。二、职位要求：1、金融、经济、管理、财会等相关专业者优先；2、良好沟通能力及合作精神，具备较强的逻辑思维能力、创新和钻研精神以及团队合作意识；3、国际金融商品分析操作经验者优先。三、福利待遇1.五天工作制，9:00-12:00,13:30-17:30，周末双休；2.本职位上班时间自由，不受地域限制和考勤制度约束。有意者请在正常上班期间（周一至周五9:30-18:00，周六、周日双休，法定节假日按国家规定带薪休假。）带着你的相关资料（个人简历、相片、毕业证书等资料）亲临本公司面试。",外资（欧美）  |  50-150人
数据分析专员（2023届）,牧田（中国）有限公司,8-12万/年,广州-黄埔区,本科,在校生/应届生,01-31发布,机械/设备/重工,武汉理工大学出版社,1、数据分析及其质量控制，协助相关新项目的开展;2、编写或优化数据分析程序，进行数据挖掘工作;3、协助开发或优化科室相关项目和数据管理软件;4、独立申请科研课题，发表论文。任职要求1、本科以上，数学、统计、计算机、生物等相关专业;2、具有相关编程语言和程序应用的能力；3、工作认真负责，具有较强的工作热情、沟通能力和团队精神。我司对此岗位提供专业的岗位培训，可接受只有基本知识的求职者。,外资（非欧美）  |  5000-10000人
数据分析管培生(J10170),上海魔域投资管理有限公司,8千-1万,上海,本科,在校生/应届生,01-31发布,租赁服务,若水路388号A幢,关于嘉因生物上海嘉因生物科技有限公司是国内从事转录调控技术服务的龙头企业，是上海市高新技术企业，公共实训平台、博士后流动站。目前公司有三大业务板块：转录调控的科研服务（普通细胞水平和单细胞水平），生物酶的研发和生产，液态活检诊断试剂的开发。目前公司已经完成pre-A融资，截至2021年7月，嘉因生物已协助各合作团队发表表观遗传类和单细胞类文章近百篇，近一年的科研文章主要发表在包括Science、NatureCommunications、PNAS、GenomeBiology、Theranostics等高水平国际期刊岗位职责：1、负责高通量测序数据分析和数据分析的研发。2、配合其他部门解决数据分析相关问题。岗位要求：1.生物学、农学、植物学和医学等相关专业，本科及以上学历。2、有上进心优先有自主学习能力优先。3.具备R或者python或shell编程的基础。4.思路清晰、善于沟通、表达能力强，富于协作精神及强烈的团队合作意识。5.责任感强，自律性强。,外资（非欧美）  |  1000-5000人
环境数据分析师,安徽中盈国创环保科技有限公司,6千-1万,西安-经济技术开发区,本科,在校生/应届生,01-31发布,环保,广州市海珠区建基路66号广东外贸广场24楼,工作职责负责业务数据采集、整理及分析工作；具有批判性思维能力，将数据分析与客户生产的产品或服务联系起来；建立标准的数据挖掘模型，并完成模型的大数据应用验证和优化，利用分析挖掘技术解决实际商业问题；独立编写行业数据分析报告，及时发现业务中隐含的漏洞和问题，为业务决策提供数据支持依据；自动化可视化运维，商业智能数据分析，大数据分析；职位要求本科及以上学历，计算机、数学、信息及相关专业优先；熟练使用至少一种数据统计分析工具，如R、Python、SAS、WEKA、SPSS等，快速有效的给出数据分析方法及结论；精通SQL，熟悉SQL优化基本技术，至少使用过一种大型关系型数据库（如ORACLE、DB2），了解linux、unix操作系统；具有良好的英语书写沟通能力；态度积极，有能力发现和解决问题；性格灵活开朗，良好的与人沟通能力，自律；良好的沟通能力，抗压性强。,民营  |  50-150人
数据分析（抖音）,上海旺旺食品集团有限公司,6-8千·13薪,上海-黄浦区,本科,在校生/应届生,01-31发布,快速消费品(食品、饮料、化妆品),静安区西藏北路18号四行天地B栋6楼,"Responsiblefordatapreparationandreportingforsuppliersourcing,performancemanagementandcontractexecutionwithinChinaregion.Assistingfororganizing,filingandkeepingagreementrecorduponinter-departmentandcompanyrequirement.KeyResponsibilities：-Performthoroughdatacollectionandanalysisofrunningcontractsforcostsavingsopportunities.-ManageinternalaccountingsystemrateandfutureDigiDocinputforoperationorderdispatch,contractsupervisionandfinanceexpensesettlementsupporting.-Maintainprocurementrecordsincludingtermofcontract,servicemapping,purchasedcosts,etc..-Assistonroutineworkonvendorqualificationevaluation,contractdocumentationpreparationandfollowedsignatoryhandoveranditsrelativetracking.-Interactwithinternalrelevantstakeholderstomakeaproperorganizingandfillingforagreement.-Necessaryreportinginsideteam.RequiredExperience&Skills：-Minimumbachelor’sdegree-ProficientuserofMicrosoftOffice,particularlyExcelandPPT.-Possessexcellentorganizationalskills,detail-orientedandresultdriven.-Experienceonhandlingmultipletaskssimultaneouslywithintightdeadlines.-FluentspokenandwrittenEnglish.",外资（非欧美）  |  10000人以上
数据分析实习生,费斯托（中国）有限公司大连分公司,120元/天,大连-甘井子区,大专,在校生/应届生,01-31发布,互联网/电子商务,武汉理工大学出版社,语言要求：应届可培养泰语无障碍英语读写工作时间：9：00-18：00双休周末中国法定薪资范围：根据经验综合面试定薪（6k-7k）+六险一金+13薪工作地点：亿达春田有班车,外资（欧美）  |  1000-5000人
数据分析初级工程师（2023届）,福建新大陆软件工程有限公司,8千-1.5万,上海-徐汇区,本科,在校生/应届生,01-31发布,通信/电信运营、增值服务,上海徐汇区漕溪北路398号2002,1、负责电商运营日常数据收集汇总&数据分析；2、通过自动化及爬虫技术，高效获取不同来源数据；3、辅助完成内部信息系统开发；4、完成领导安排的其他事情；5、有责任心，工作态度积极热情，善于沟通和各部门协调。岗位要求：1、乐于学习，逻辑思维清晰；2、积极的工作状态、高度的责任心、能吃苦耐劳，有团队精神；3、精通Excel，熟悉Python、PowerQuery、PowerAutomate、Selenium；4、熟悉数据库设计；5、数学系或计算机系优先考虑。,民营  |  500-1000人
数据分析实习生,辰诺（上海）国际贸易有限公司,4-5千,上海-长宁区,本科,在校生/应届生,01-31发布,快速消费品(食品、饮料、化妆品),若水路388号A幢,岗位职责：1、学习并熟悉公司宏观经济与投资研究的数据分析体系，梳理数据信息源，定期及时地采集与更新数据信息，协助构建数据采集模板与信息库；2、通过在职培训逐步学习掌握围绕宏观经济、中观行业与微观主体的数据分析方法，并依据采集的数据开展定期及时的数据分析工作，逐步独立形成数据分析结果的报告；3、在工作中不断拓展和优化数据采集方法，完善经济分析的数据库；不断学习和健全数据分析工具和方法，积极尝试并运用新的思路、算法、工具；持续运用市场表现和数据来校验和优化团队现有的模型、算法；4、定期参加行业、公司组织的各类研讨、交流、会议等活动，不断拓展知识技能边界；5、其他根据公司业务需求和个人发展的相关工作安排。任职要求：1、应届毕业生及毕业不超过3年的毕业生；2、大学本科及以上学历，理学（数学、统计、物理、计算机等）、经济、金融、会计及相关专业；3、熟悉运用Excel、PPT、Word等基础软件工具（了解Python、VBA等语言优先）；4、具有文图编辑能力和较好的中文沟通表达能力；5、具备在宏观分析和投资研究方面发展的主观意愿，有自我驱动的学习动力与相应的学习能力，拥有和同事客户积极的沟通交流能力，有承受挫折百折不挠的恒心毅力。,民营  |  少于50人
数据分析（应届生）,上海旺旺食品集团有限公司,6-8千·13薪,惠州-惠城区,本科,在校生/应届生,01-31发布,快速消费品(食品、饮料、化妆品),庐阳区长江中路银泰中心写字楼19层才莱商贸,职位诱惑：空调零食下午茶，团建活动多，团队都是80尾/90后，脱单圣地，氛围活泼，领导接地气，相信你会喜欢上我们这个有趣的大家庭岗位职责：1、日常报表制作与更新；2、监控日常运营及业务指标，及时对异常情况进行预警；3、负责呼叫系统任务调配及管理；4、通过数据分析方式，给予公司决策支持；5、会用python或者R语言进行数据分析、数据建模以及爬虫等工作。任职要求：1、本科及以上学历，数学、统计学、计算机、企业管理等相关专业；2、能熟练使用办公软件及函数；3、熟练运用EXCEL、PPT及SQL；掌握R或Python；4、具备优秀的职业素养和职业道德，热爱本行业，工作责任心强，有敬业精神，具备良好的团队合作精神。5、优秀本科应届毕业生或一年以上数据分析工作者优先考虑。福利待遇：1、法定节假日：（元旦、春节、清明节、劳动节、端午节、中秋节、国庆节）按国家规定放假。2、旅游：公司会不定期组织大家出去玩，公司买单，你只管放松心情，享受慢生活。3、活动：公司会不定期组织员工生日会、下午茶、派对等活动。4、培训：带薪入职培训+不定期组织大家学习相关技能。5、五险一金：必买。6、每个月5号发薪资，不仅仅有年终奖，还有年底十三薪福利目前公司处于高速发展中，提供良好的平台，发展空间大，老板平易近人，办公环境优美，有意向欢迎投递简历。,外资（非欧美）  |  10000人以上
