职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值,行业类型,平均薪酬,工资级别
经济研究员,武汉君沅企业管理咨询有限公司,4-7千,武汉·江岸区,3,2,"经济研究
金融研究
五险
周末双休
带薪年假",金融/投资/证券,,民营  |  少于50人,新一线,,4000-7000,4000,7000,经济,5500,四级
宏观经济研究员,中采智联信息科技（北京）有限责任公司,1.5-3万,北京,4,2,"宏观，策略
五险一金
交通补贴
通讯补贴
绩效奖金
年终奖金
股票期权",专业服务(咨询、人力资源、财会),,民营  |  少于50人,一线,,15000-30000,15000,30000,经济,22500,二级
投资经理（数字经济）,杭实资产管理（杭州）有限公司,1.4-2万,杭州·上城区,4,4,"行业研究报告
经济发展
数字经济
高端制造
行研
五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",金融/投资/证券,,国企  |  少于50人,新一线,,14000-20000,14000,20000,经济,17000,二级
区域经济研究,云南火天传媒有限公司,8千-1万,昆明·西山区,3,3,数据分析,文字媒体/出版,,民营  |  50-150人,二线,,8000-10000,8000,10000,经济,9000,三级
金融/经济研究员,广州港晟商务咨询有限公司,9千-1.3万·13薪,广州·天河区,2,1,"金融
金融市场
分析报告
五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金",金融/投资/证券,,民营  |  50-150人,一线,,9000-13000,9000,13000,经济,11000,三级
金融/经济研究员（周末双休）,广州港晟商务咨询有限公司,9千-1.3万·13薪,广州,2,1,"金融
经济
分析报告
金融市场
五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金",金融/投资/证券,,民营  |  50-150人,一线,,9000-13000,9000,13000,经济,11000,三级
经济学院实验教师,湖北商贸学院,5-7千,武汉·洪山区,4,0,"周末双休
五险一金
节日福利
定期体检
交通补贴
餐饮补贴
通讯补贴
年终奖金
绩效奖金",教育/培训/院校,,事业单位  |  500-1000人,新一线,,5000-7000,5000,7000,经济,6000,四级
经济研究员,西安金贝元信息技术有限公司,7千-1.3万,西安·碑林区,2,0,"专业培训
交通补贴
通讯补贴",金融/投资/证券,,创业公司  |  50-150人,新一线,,7000-13000,7000,13000,经济,10000,三级
宏观经济研究员,北京福盛德信息咨询有限公司,1-2万,北京·通州区,4,4,"五险一金
绩效奖金
定期体检",专业服务(咨询、人力资源、财会),,民营  |  少于50人,一线,,10000-20000,10000,20000,经济,15000,二级
金融/经济研究员,广州慧晟商务咨询有限公司,9千-1.4万·13薪,广州·天河区,2,1,"金融行业
分析报告
分析
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
股票期权
出国机会",计算机软件,,民营  |  50-150人,一线,,9000-14000,9000,14000,经济,11500,三级
金融/经济研究员,民生期货有限公司,1-1.2万,深圳·龙华区,3,1,"直播
期货市场
宏观研究
跟踪市场行情
五险一金
通讯补贴
年终奖金
绩效奖金
定期体检",金融/投资/证券,,民营  |  150-500人,一线,,10000-12000,10000,12000,经济,11000,三级
经济技术人员,西安金贝元信息技术有限公司,5-8千,西安·碑林区,2,0,"财务管理
经济学
专业培训
交通补贴
通讯补贴",金融/投资/证券,,创业公司  |  50-150人,新一线,,5000-8000,5000,8000,经济,6500,四级
经济普查领导小组区级普查指导员,成都恒信人力资源管理有限责任公司,3-3.5千,成都·温江区,2,2,五险一金,专业服务(咨询、人力资源、财会),,非营利组织  |  1000-5000人,新一线,,3000-3500,3000,3500,经济,3250,五级
经济实习生,西安金贝元信息技术有限公司,5千-1万,西安·碑林区,2,0,"财务管理
专业培训
交通补贴
通讯补贴",金融/投资/证券,,创业公司  |  50-150人,新一线,,5000-10000,5000,10000,经济,7500,四级
经济研究员（规划编制人员）,北京中金万瑞工程咨询有限公司,5-8千,运城,3,3,"专业培训
年终奖金
五险
员工旅游",服装/纺织/皮革,,民营  ,三线,,5000-8000,5000,8000,经济,6500,四级
股份交易中心宏观经济分析师,山金期货有限公司,1.5-2.5万,上海·杨浦区,4,2,"五险一金
定期体检
专业培训
通讯补贴",金融/投资/证券,,国企  |  50-150人,一线,,15000-25000,15000,25000,经济,20000,二级
经济数据研究员,广州市坚信信息科技有限公司,6千-1.2万,广州·越秀区,3,1,"经济研究
金融
经济学
数据分析
数据
统计
分析
经济
数据处理
数据监测
五险一金
员工旅游
绩效奖金
年终奖金
定期体检
周末双休",计算机软件,,民营  |  50-150人,一线,,6000-12000,6000,12000,经济,9000,三级
产业经济分析咨询师,陕西省庆华工程咨询有限责任公司,4-8千,西安·莲湖区,3,1,"区域经济规划
产业发展规划
课题研究
国民经济发展
专项规划
五险一金
绩效奖金
年终奖金
定期体检",专业服务(咨询、人力资源、财会),,民营  |  50-150人,新一线,,4000-8000,4000,8000,经济,6000,四级
经济师,天弈工程咨询有限公司,1-1.5万,武汉·武昌区,3,3,财务经济分析,专业服务(咨询、人力资源、财会),,民营  |  少于50人,新一线,,10000-15000,10000,15000,经济,12500,二级
投资经理-经济/金融/法学博士,深圳市尊地咨询股份有限公司,2-2.5万,深圳,5,3,"投资
法律
撰写报告
文字能力
五险一金
绩效奖金
弹性工作",房地产,,已上市  |  150-500人,一线,,20000-25000,20000,25000,经济,22500,二级
宏观经济研究员 (Macroeconomist),北京福盛德信息咨询有限公司,1-2万,北京·通州区,4,3,"宏观经济
通胀
货币政策
财政政策
产业政策
地区经济
国际经济
五险一金
绩效奖金
定期体检",专业服务(咨询、人力资源、财会),,民营  |  少于50人,一线,,10000-20000,10000,20000,经济,15000,二级
产业经济研究员,众创网（武汉）科技有限公司,8千-1.2万,武汉·江岸区,4,2,"数据分析
课题研究
数字经济
社会治理
市场研究
经济
金融
影响评估
产业政策研究
报告编写
五险一金
年终奖金
带薪年假
周末双休
专业培训
节日福利",互联网/电子商务,,民营  |  50-150人,新一线,,8000-12000,8000,12000,经济,10000,三级
金融/经济研究员（技术指导）,广东致远蓝图项目管理有限公司,8千-1.4万·13薪,广州·天河区,3,1,"金融
经济
分析报告
分析研究
实践指导
研究分析
数据洞察
私募股权投资
投资
战略建议
绩效奖金
周末双休
生日福利
节日福利
定期团建
员工旅游
专业培训
地铁周边
环境优质
弹性工作",金融/投资/证券,,民营  |  50-150人,一线,,8000-14000,8000,14000,经济,11000,三级
宏观经济研究员 (Macroeconomist),北京福盛德信息咨询有限公司,1-2万,北京·通州区,4,3,"五险一金
绩效奖金
定期体检",专业服务(咨询、人力资源、财会),,民营  |  少于50人,一线,,10000-20000,10000,20000,经济,15000,二级
经济金融专业专职教师,德阳科贸职业学院,5-7千,德阳,3,1,"做五休二
全勤奖
绩效奖金
节日福利
五险",教育/培训/院校,,非营利组织  |  150-500人,四线,,5000-7000,5000,7000,经济,6000,四级
经济数据分析,北京蓝百商贸有限公司,9千-1.5万,沧州,2,1,"数据分析
R
语言
c+
SPSS
五险一金
弹性工作
绩效奖金
周末双休",互联网/电子商务,,民营  |  50-150人,三线,,9000-15000,9000,15000,经济,12000,三级
经济研究员(固定双休),广东致远蓝图项目管理有限公司,7千-1.2万,广州·天河区,2,1,"金融
投资
资产管理
理财
投融资
五险一金
员工旅游
专业培训
弹性工作
周末双休
节日福利
生日礼品
地铁周边",金融/投资/证券,,民营  |  50-150人,一线,,7000-12000,7000,12000,经济,9500,三级
宏观经济助理研究员,北京福盛德信息咨询有限公司,8千-1.5万,北京·通州区,4,2,"宏观经济
行业经济
货币政策
财政政策
房地产
物价
国际经济
地区经济
五险一金
绩效奖金
定期体检",专业服务(咨询、人力资源、财会),,民营  |  少于50人,一线,,8000-15000,8000,15000,经济,11500,三级
宏观经济研究专家,上海鉴才市场营销策划有限公司,3.5-6万,北京·西城区,5,4,"宏观经济
机械装备
医疗机械
健康养老
医药
五险一金
餐饮补贴
绩效奖金
年终奖金
定期体检",专业服务(咨询、人力资源、财会),,民营  ,一线,,35000-60000,35000,60000,经济,47500,一级
