职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,最低年薪,最高年薪,薪酬_n,月薪最小值,月薪最大值
供应链总监,北京农顺物流管理科技有限公司,2.5-3.5万,北京-丰台区,本科,8-9年经验,五险一金,交通/运输/物流,农批行业类型供应链工作经验，主要为冷库/冷链物流园区供销服务。,民营  |  少于50人,北京,,,,25000-35000,25000,35000
供应链主管/专员,迪卡侬上海生产采购中心,1.5-2万,青岛,本科,3-4年经验,五险一金,服装/纺织/皮革,30%基本日常工作：?负责运动产品的注塑类产品、油压类产品的生产供应链相关工作，如泳帽、蛙鞋等产品?在供应链领域内，你运用你专业的供应链技能确保供应商的订单可以按时交付，陪伴和辅导供应商提升自主性，使他们他们具有能力去自主的发现、分析问题根源并解决供应链问题。?你带着对自我和工作的高要求去全力配合负责质量、新产品导入以及工业化的同事，确保新产品上线时可以满足交期、成本以及可持续发展的要求。?你负责管理供应链KPI（比如按时到货率、生产周期缩短以及库存水位等等），解决系统中的异常数据并运用合理化工具解决问题来保证绩效的持续改善。70%开拓性供应链管理工作：?更敏捷供应链：你主导并带领供应商在现场实施拉动式生产的供应链模式，真正有益于满足多变的需求和实现更加敏捷供应链。?更加快速反应的供应链：你运用供应链知识和技能，优化供应商现场布局，改善在制品库存数量，使用精益的方法缩短生产周期，协同供应商的生产计划部门和先进制造部门共同确保供应商可以自主化去持续改善。?数字化供应链：协同供应商打通MES系统与ERP系统，保障WMS系统数据准确性，搭建可视化的数字中台推进供应链数字化进程。?你将带领迪卡侬战略合作伙伴的供应链项目，去共创未来的新项目，去挑战和重新审视供应商现有组织架构和技能是否真的有益于长期的价值链优化，去考核评估项目团队和任务以及项目绩效的可持续精进。,外资（欧美）  |  150-500人,青岛,,,,15000-20000,15000,20000
供应链经理,长沙艾高信息科技有限公司,1-2万,长沙-岳麓区,本科,2年经验,五险,计算机软件,职位描述1、供应链专业咨询顾问。为公司供应链产品提供专业咨询顾问工作，完善供应商的开发，维护，跟踪及评估体系，开放供应商资源。2、开发采购，供应链业务市场，为客户提供供应专业供应链，采购业务的咨询。3、配合运营，产品部门提升公司供应链产品的质量和市场竞争力。4、非常熟悉SRM系统5、有某个行业特定供应商资源。善于开发和管理供应商6、在某特定行业有一定的人脉资源和知名度优先考虑7、服从上级的其他安排。任职资格1、本科及以上学历，物流供应链相关专业优先。2、三年以上供应链，采购相关领域工作经验，2年以上供应链经理经验，有电商行业工作经历优先。3、接受过供应链方面专业培训，具备专业的供应链管理知识和技能。4、有丰富的电商采购工作经验优先考虑，5、有供应链咨询服务经验优先考虑6、有展会园区资源优先考虑公司自主研发的互联网产品注册用户过百万（早已经实现了盈利）。现在处于高速发展阶段。如果您热爱互联网，执着产品、有创业精神，这里就是您明智的选择。期待您的加入。,民营  |  少于50人,长沙,,,,10000-20000,10000,20000
供应链主管,华伟达餐饮控股（深圳）有限公司,8千-1.5万,深圳-福田区,大专,3-4年经验,专业培训,餐饮业,工作职责：1、负责供应链的管理/统筹（仓库、物料…）2、不定时回访，解决加盟商问题，负责协调及跟进3、统筹新店，跟进协调新店设备，原物料进场及后勤相关问题4、完成领导交代的其他事项,民营  |  150-500人,深圳,,,,8000-15000,8000,15000
业务经理（物流以及供应链管理方向,佑仁电子科技（苏州）有限公司,1-1.5万,苏州-工业园区,本科,5-7年经验,餐饮补贴,计算机服务(系统、数据服务、维修),1.物流以及供应链管理，经济管理或相关专业***统招本科以上学历（含本科）2.5年以上供应链相关领域工作经验，有外企工作管理经营者优先；3.熟悉物流供应链各个操作环节，具备专业供应链管理知识和技能，对公司ERP及其相关质量管理体系有很好理解4.优秀的的分析、沟通、协调、谈判能力。5.英语四级以上，有较强的英语沟通能力。,外资（非欧美）  |  150-500人,苏州,,,,10000-15000,10000,15000
供应链经理,中国农垦控股上海有限公司,1.3-1.8万,上海-杨浦区,本科,5-7年经验,带薪年假,快速消费品(食品、饮料、化妆品),"1.建立和优化定制、采购、仓储、物流运输及配送流程，规范定制、采购、仓储、物流运输及配送等操作，对相关合同及细则进行管理；2.控制储存商品的残次率，管理残次品，降低服务运作成本；3.对供应商进行管理，建立完善的供应商管理制度；4.定期对供货商的服务、质量等进行评审,并实施分级管理制度，建立合作共赢的合作模式；5.配合相关部门，做好产品退换货及补货管理，协调索赔事项，维护公司合法权益；6.协调供应链与其它职能部门的工作，配合做好线上营销、客服及物流，落实各项供应链策略实施，确保供应链管理的各项业务顺利开展；7.负责定制、采购、仓储、物流运输及配送等环节成本的控制，采取积极有效地措施，降低各项成本；8.跟踪及核对清关单据，根据交货发票以及装箱单登记来货台账；9.通知报关、付税、安排税金支付；10.相关进出口证书核对、出证、证书上传DRM系统及安排付款事宜；11.相关部门之间的工作和关系协调。任职要求：1.本科及以上学历，管理类、物流类、供应链类相关专业；2.5年以上供应链相关领域工作经验，三年以上供应链相关部门主管工作经验，有外资企业供应链管理工作经历者优先；3.熟悉物流、供应链各个操作环节，接受过供应链方面专业培训，具备专业供应链管理知识和技能，对相关质量管理体系有很好的理解；4.熟练使用各种办公软件，熟练使用ERP、SAP、金蝶等系统；5.优秀的组织、分析、沟通、协调、谈判和领导能力；6.为人正直、品行端正、具备良好的服务意识和高度的责任心，可以承受高强度的工作压力；7.中共党员优先。",国企  |  50-150人,上海,,,,13000-18000,13000,18000
供应链综合管理部经理-供应链,苏州瀚川智能科技股份有限公司,1.5-2.5万,苏州-工业园区,本科,5-7年经验,数据分析,机械/设备/重工,岗位职责:1.带领团队处理采购相关对账业务，协助各事业部采购对接财务事项，监控采购付款条件的合理性和合规性；2.管理供应链各系统的关键用户，做好培训，考核及赋能工作；3.带领团队负责收集和处理供应链的各项核心数据，维护仪表盘，支持供应链核心管理团队的业务决策；4.主持或参与供应链各类管理例会，并监督会议决议的执行；5.协助供应链负责人处理ISC流程的优化及迭代。任职要求:1.本科及以上学历，数据分析、信息管理、供应链管理或相关专业；2.五年以上供应链多模块的管理经验；3.熟悉供应链各模块的业务知识，熟悉SAP、SRM、WMS等供应链系统，有同行业实施经验的优先；4.具备数据分析能力，会熟练使用EXCEL/BI等工具、熟悉根因分析的方法（5W1H）具备一定财务知识；5.优良的逻辑能力和数据敏感性、流程意识、组织协调及执行能力；6.抗压能力和独立工作能力强，认同公司价值观并能赋予实践工作中。,已上市  |  1000-5000人,苏州,,,,15000-25000,15000,25000
供应链主管,广州唐煌餐饮管理有限公司,7-8千,广州-天河区,大专,3-4年经验,弹性工作,餐饮业,1、熟悉哗啦啦供应链系统。2、梳理供应链流程。3、调整维护供应链系统管理。4、思路清晰。沟通能力强。专业性强具体***,民营  |  50-150人,广州,,,,7000-8000,7000,8000
供应链经理,奇点医疗科技（广州）有限公司,1.5-2万·13薪,广州-增城区,本科,5-7年经验,五险一金,医疗设备/器械,岗位职责：1、负责公司整个供应链系统运作，制定和完善公司采购、仓储、配送、物流管理工作流程体系建设；2、负责公司各部门所需物资采购、仓储、物流运输及配送，保质、保量、按时供应生产经营所需。3、建立健全供应商开发、维护、跟踪及评估体系，合理控制采购成本；4、配合公司研发、生产管理，优化物料计划、生产计划、发货计划、库存计划，提升供应链效率。任职要求：1、5年以上供应链工作经验，3年以上供应链负责人工作经验。有医疗器械行业背景优先；2、熟悉供应链的整体操作，具备较强的数据分析能力、统筹规划能力和沟通协调能力；3、对企业供应链管理具备深厚的专业背景与丰富的实操经验，拥有丰富的计划管理、人员管理、成本控制、采购管理、物流管理方面的经验；4、具备较强的领导和组织协调能力，判断力与决策能力，有较强的谈判能力。,民营  |  50-150人,广州,13,,,15000-20000,15000,20000
高级采购员（供应链-机械方向）,东软医疗系统股份有限公司,7-9千,沈阳,本科,5-7年经验,五险一金,医疗设备/器械,工作职责：1、负责BOM物料的采购及订单管理；2、负责所辖物资供应策略的制定及维护；3、负责特殊供货模式的推广；4、负责物料的齐套管理，定期跟踪反馈物资到货进度；5、负责识别物料交付风险及管控，确保齐套，同时持续改善供应商的交付柔性；6、定期监控、分析库存情况，合理控制库存；7、参与供应商SRS绩效的考核；8、负责所辖物资不合格品的处置；岗位要求：1、本科及以上学历，5年以上制造型企业采购或供应链管理经验；2、掌握供应链、供应商管理理论；3、能够熟练运用ERP系统及其它常用IT工具。,合资  |  1000-5000人,沈阳,,,,7000-9000,7000,9000
供应链总监,江苏烽禾升智能科技有限公司,3-6万,苏州,本科,10年以上经验,五险一金,仪器仪表/工业自动化,"1、负责组织制定整个供应链策略，协调各制造资源的合理分布和调配；2、全面负责生产计划、采购、与订单履行环节的有效运作以及相关管理工作；3、负责集团公司供应商管理、采购、物料生产管理、配送、仓储工序流程的优化,完成成本降低及控费的达成；4、实施供应商评审，负责成品供应的及时性和准确性；确保生产物料的采购质量，数量和及时运输的平衡性。任职资格：1、***本科及以上学历；2、10年以上相关行业供应链管理经验，熟悉供应链管理各环节的相关流程，能够对生产、采购、物流等方面资源进行有效规划、整合及优化；2、熟悉供应商的评估和询价系统，谈判能力强，有丰富的品牌消费品企业供应商管理和运营经验；3、扎实的物流知识和操作实践经验，协调能力强，拥有较丰富的物流服务商的管理和实际运营经验；4、有丰富的制造行业生产计划经验，熟知生产流程，以及相关的原材料及物料知识",民营  |  1000-5000人,苏州,,,,30000-60000,30000,60000
迪卡侬物流供应链管培生--广东东莞,迪卡侬仓储配送,1-1.5万,东莞,本科,无需经验,物流,交通/运输/物流,职位描述迪卡侬中国区物流供应链管培生，每一位新人都有全面定制的入职成长计划，通过个人的快速学习，在全面掌握物流基础技能的同时，学习和实践团队管理，自主管理一个团队，招募和培养自己的团队成员，带领团队高效精准地完成全渠道订单，持续学习改进，推动自动化仓储的数字化进程。职责范围自主管理10人团队，招募和培养自己的团队成员；使用系统数据分析管理团队KPI，高效精准地完成全渠道订单；持续学习并掌握自动化仓储的流程和系统，使用系统大数据持续改善优化流程。任职要求本科及以上学历，有海外留学或工作经验者优先；物流、供应链、工业工程相关专业，AI技术和数据分析专业优先；积极主动的的交流沟通能力，流利的英语口语和书写能力；快速学习新知识和不断提升自我的能力。培养发展量身定制的供应链全方位培训发展体系；清晰的内部晋升空间【物流供应链管培生（10人团队）=>仓库负责人（60-100人团队）=>园区负责人（200-350人团队）】全产业链多元化工作机会【物流项目组/供应链采购/零售/电子商务/其他服务部门等】,外资（欧美）  |  500-1000人,东莞,,,,10000-15000,10000,15000
供应链专员,济丰包装（上海）有限公司,6-9千,上海,本科,无需经验,五险一金,印刷/包装/造纸,1）负责供应链建立过程中的设计、沟通和采购2）性格开朗，不畏艰难，能适应弹性工作时间;3）有供应链经验;4）有包装产品研发经验、爱好包装行业;5）学习力强，熟悉ERP，熟悉报价和成本核算。6）心胸开放，注重团队合作；7）公司提供国内外培训和双体系发展通道；,外资（非欧美）  |  1000-5000人,上海,,,,6000-9000,6000,9000
