职位名称,薪酬,城市地区,工作经验要求,学历要求,关键词,公司名称,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值
经济研究员,4-7千,武汉·江岸区,2年,本科,"经济研究
金融研究
五险
周末双休
带薪年假",武汉君沅企业管理咨询有限公司,民营  |  少于50人,金融/投资/证券,武汉,4000-7000,4000,7000
宏观经济研究员,1.5-3万,北京,2年,硕士,"宏观，策略
五险一金
交通补贴
通讯补贴
绩效奖金
年终奖金
股票期权",中采智联信息科技（北京）有限责任公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),北京,15000-30000,15000,30000
投资经理（数字经济）,1.4-2万,杭州·上城区,5-7年,硕士,"行业研究报告
经济发展
数字经济
高端制造
行研
五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",杭实资产管理（杭州）有限公司,国企  |  少于50人,金融/投资/证券,杭州,14000-20000,14000,20000
区域经济研究,8千-1万,昆明·西山区,3-4年,本科,数据分析,云南火天传媒有限公司,民营  |  50-150人,文字媒体/出版,昆明,8000-10000,8000,10000
金融/经济研究员,9千-1.3万·13薪,广州·天河区,1年,大专,"金融
金融市场
分析报告
五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金",广州港晟商务咨询有限公司,民营  |  50-150人,金融/投资/证券,广州,9000-13000,9000,13000
金融/经济研究员（周末双休）,9千-1.3万·13薪,广州,1年,大专,"金融
经济
分析报告
金融市场
五险一金
补充医疗保险
补充公积金
专业培训
绩效奖金",广州港晟商务咨询有限公司,民营  |  50-150人,金融/投资/证券,广州,9000-13000,9000,13000
经济学院实验教师,5-7千,武汉·洪山区,无需经验,硕士,"周末双休
五险一金
节日福利
定期体检
交通补贴
餐饮补贴
通讯补贴
年终奖金
绩效奖金",湖北商贸学院,事业单位  |  500-1000人,教育/培训/院校,武汉,5000-7000,5000,7000
经济研究员,7千-1.3万,西安·碑林区,无需经验,大专,"专业培训
交通补贴
通讯补贴",西安金贝元信息技术有限公司,创业公司  |  50-150人,金融/投资/证券,西安,7000-13000,7000,13000
宏观经济研究员,1-2万,北京·通州区,5-7年,硕士,"五险一金
绩效奖金
定期体检",北京福盛德信息咨询有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),北京,10000-20000,10000,20000
金融/经济研究员,9千-1.4万·13薪,广州·天河区,1年,大专,"金融行业
分析报告
分析
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
股票期权
出国机会",广州慧晟商务咨询有限公司,民营  |  50-150人,计算机软件,广州,9000-14000,9000,14000
