职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
营销助理,伯锦船舶科技（上海）有限公司,6千-1万,上海·浦东新区,大专,1年,"五险一金
交通补贴
通讯补贴
绩效奖金
周末双休
ppt
微信公众号
视频号
销售数据统计",学术/科研,,,民营  |  少于50人,,,,,
市场营销专员,中国外运长江有限公司,5千-1万,无锡·江阴市,本科,无需经验,,交通/运输/物流,,,国企  |  1000-5000人,,,,,
营销策划专员,富民乡村宝贝农业开发有限公司,3.5-4.5千,昆明,大专,2年,,农/林/牧/渔,,,民营  |  50-150人,,,,,
营销经理,天诚（中国）科技发展有限公司,1-1.2万,西安·高新技术产业开发区,大专,3-4年,"销售管理
营销策略
营销策划
营销宣传
绩效奖金
节日福利
五险
生日福利",计算机软件,,,民营  ,,,,,
市场渠道营销专员,广东中铭信息科技有限公司,6千-1.2万,湛江·霞山区,大专,无需经验,"信用卡
个贷
车贷
房贷
市场营销
营销
拓展专员
渠道营销
五险一金
交通补贴
通讯补贴
餐饮补贴
绩效奖金",通信/电信/网络设备,,,民营  |  少于50人,,,,,
海外营销专员,广州市鑫欣信息科技有限公司,1.5-2万·14薪,广州·越秀区,本科,1年,"绩效奖金
五险一金
专业培训
员工旅游
定期体检",计算机软件,,,民营  ,,,,,
营销经理,武汉德美新材料有限公司,8千-1.5万,武汉·新洲区,大专,2年,"经销商
销售
区域销售
涂料
石膏
真石漆
营销
五险一金
餐饮补贴
绩效奖金
年终奖金
交通补贴",建筑/建材/工程,,,民营  |  150-500人,,,,,
营销培训主管,杭州护童科技有限公司,1-1.5万,杭州·西湖区,大专,3-4年,"五险一金
专业培训
年终奖金
带薪年假
餐饮补贴",批发/零售,,,民营  |  500-1000人,,,,,
网络营销工程师,苏州源卓精密科技有限公司,8千-1.5万·14薪,苏州·相城区,本科,2年,"五险一金
员工旅游
绩效奖金
年终奖金
补充医疗保险
补充公积金",机械/设备/重工,,,民营  |  50-150人,,,,,
（嘉定本科8千起）营销管培生/房产销售,上海链家,8千-1.6万,上海·普陀区,本科,无需经验,"房地产销售
管培生
客户代表
网络销售
销售助理
销售专员
销售顾问
大客户销售
门店销售
上市公司
弹性工作
节日福利
专业培训
绩效奖金
带薪年假
五险一金
定期体检
出国机会",房地产,,,民营  |  10000人以上,,,,,
