职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型
营销高储（未来总裁）,深圳市乐有家控股集团有限公司,7.5千-1.5万,东莞-常平镇,本科,1年经验,营销,房地产,岗位职责“未来总裁”人才工程是乐有家控股集团为推动公司做大做强粤港澳大湾区及“百城万店”全国化发展战略而打造的高级人才项目。集团计划从国内外各高校或集团内部选拔出300名极具管理潜质、综合素质高、立志往高级营销/按揭管理岗位发展的可塑性人才，快速培养为乐有家的营销副总裁、营销总裁、按揭副总经理、按揭总裁、总裁。【千万年薪】：万众创业大平台，千万年薪不是梦！【千万津贴】：在极具竞争力的高薪基础上，董事长额外设立千万津贴！【定向培养】：营销双导师带教，重要成长阶段集中管理赋能培训，塑造领导力、培养战略意识。【光速晋升】：最快3个月做店长，6个月做营销副总经理，1年做营销副总裁，3年做营销总裁！作为集团营销高级储备干部，在精选优质门店开展营销业务工作，参与门店日常管理，协助营销管理人员搭建营销团队、制定经营目标、抢占市场份额，配合集团重大战略决策的执行落地。任职资格1、统招本科及以上学历，专业不限；2、认可公司平台和企业文化，职业发展目标明确，事业心强，有较强的进取心和竞争意识；3、性格外向开朗，沟通表达能力强，善于与人打交道，爱管事、会来事；4、有奋斗拼搏精神，吃苦耐劳、踏实肯干、虚心好学，接受强度高、时长久的工作；5、思路清晰，有闭环思维，善于发现问题、解决问题并总结反思，悟性和可塑性高；6、具备一定的管理潜质和魄力，团队协作能力、凝聚力、责任心、执行力强，有结果意识。薪资待遇1、收入自主制，千万年薪不是梦。成长初期，薪酬福利包括底薪、各项补贴和奖金，超高业绩奖核算比例55%-80%，其中深圳地区统招本科底薪加各项补贴高达7500元，广州地区统招本科底薪加各项补贴高达7200元；另额外专享长达一年的董事长专项人才津贴每月2000-3000元。晋升为营销管理岗后，可按对应岗位享有更高的底薪、各项补贴和分红奖。大学生租房免佣五险一金、带薪假期、节日大礼包、授课奖、仁杰奖、员工互助金政策丰富多彩的员工文体活动、国内精品游、国外豪华游2、培训及晋升机制完善乐学堂APP移动化学习平台、每年投入2亿培训专项经费、3000多位培训讲师。一对一导师带教，专属高阶燎原跨越式发展储备人才计划。特种兵闯关考核、1000多个培训基地、1000多门丰富课程、精选配套考题20000+！明确的职级晋升标准和后备培养机制，帮助下属晋级是考核上级的重要指标；职能、营销晋升通道畅通无阻，助您纵向、横向多维度发展！3、团队特色集团化企业，学习型组织，创业型团队，开放型文化，年轻化团队，职业化风貌，专业化协作，扁平化管理，阳光透明，简单真诚，优秀雇主欢迎您！,民营  |  10000人以上
营销管理岗,久隆财产保险有限公司,8千-1.5万,珠海-香洲区,本科,3-4年经验,营销,保险,营销管理岗主要职责：一、负责对分解的渠道任务目标推动执行；二、拟定渠道销售策略并推动落实；三、对渠道的开拓、维护与管理；四、拟定切合市场需求的销售策略和营销方案；五、配合产品部门做好产品的宣传和推广工作；六、对销售情况进行统计、分析、监督和考核；七、领导安排的其他工作。性格阳光、开朗，具有良好的沟通表达能力；品行端正，有上进心，具有良好的执行力；富有责任心和团队意识；本科以上学历，营销相关专业优先。,民营  |  少于50人
市场营销总监,骏蓉智慧（成都）汽车服务有限公司,40-50万/年,成都-龙泉驿区,大专,3-4年经验,市场营销,汽车,,民营  |  少于50人
营销负责人,河南天伦地产集团有限公司,1.5-2.3万,郑州-金水区,本科,5-7年经验,五险一金,房地产,一、岗位职责：1.负责整体营销工作，完成销售任务，控制营销费用，对销售目标负责；2.分解年度营销任务，组织内部各条线完成任务；3.参与确定各项目的产品市场定位，协同相关部门共同制定产品设计定位；4.负责营销及推广策略的审核，包括营销方案、广告创意、推广活动及媒介策略等；5.负责销售管理工作，制定销售策略、促销方案，并根据销售情况和市场情况调整策略；6.负责竞品楼盘的研究及分析，并根据市场变化及时调整项目策略；7.负责营销体系搭建，制度、流程的制定与完善；8.负责团队建设及人才的培养工作，负责团队人员的业绩考核；9.协调项目其他部门等营销配合相关工作，满足项目运营的需要；10.建立和保持与政府相关部门、银行系统、新闻媒体的良好合作关系，提升集团品牌形象；11.上级交办的其他工作。二、任职要求：1.大学本科及以上学历，市场营销、广告学、管理类、房地产专业等相关专业，8年以上营销管理工作经验；2.精通房地产项目营销和策划流程、市场营销知识、市场调查知识、房地产开发流程及销售关键环节；3.具有较强的营销策划能力、销售管理和媒体公关能力；4.优秀的团队建设经验，团队管理能力强，善于协调营销团队的工作；5.责任心强、具有一定的抗压能力和较强的综合协调能力、沟通能力。,民营  |  1000-5000人
新营销储干+底薪7200元+免费培训,深圳市乐有家控股集团有限公司,5-9千,广州-番禺区,大专,1年经验,总裁,房地产,职位信息①乐有家大学生团队，无限机遇等你来挑战！【新营销：行业清流，坚持“八不三真”】“八不”：不吃差价、不做私单、不收红包、不坑蒙拐骗、不威胁恐吓、不拿客户业主一针一线、不情绪化、不喝酒应酬“三真”：真房源、真服务、真保障②【晋升发展】——合适的人放在合适的岗位，每月一次的竞聘机会，面向全员开放，70%以上90后管理人员，鼓励纵向或横向发展1、置业顾问/营销管培生—置业经理—店长—营销副总经理—营销副总裁-营销总裁2、一年做店长，两年做副总，五年做营销副总裁。---工作地点：广州各区域（根据意愿就近安排，可提供住宿）职能类别：大客户销售工作地址上班地址：广州各区域查看地图51Job安全提醒求职过程中如果遇到违规收费、信息不实、以招聘名义的培训收费或者微信营销等虚假招聘行为，请点击立即举报，并保留证据，维护自己的合法权益。更多详情【薪资福利】1、收入自主制：薪酬包括底薪，各项补贴和奖金，薪酬分三部分发放本科7200起+55%—80%的奖金大专6400起+55%—80%的奖金底薪，每月15号发放第二部分各项补贴，每月20号发放（底薪和各项补贴只和你的学历和出勤相关，不跟业绩相关无论有没有业绩底薪补贴都是每月固定的发放，足够保障您在深圳的生活）第三部分奖金，奖金=当月自己实收的业绩*相应的比例【55%—80%】—人工成本公司信息乐有家控股集团为“以房地产经纪为龙头、金融和互联网为两翼”的大型企业集团，成立于2008年，总部位于深圳市，2020年度交易额突破5000亿，在深圳市场占有率稳居行业***，粤港澳大湾区多个城市市占率稳居行业前列。集团旗下拥有“乐有家”、“顺联担保”、“万顺通资产”、“家家顺物联科技”等优秀品牌，业务涵盖二手房买卖、房屋租赁、项目策划、新房代理、人工智能、资产管理、金融服务等领域，获得“中国十大品牌中介机构”、“全国优秀房地产经纪机构”、“年度***雇主”、“最值得信任的地产经纪品牌”、“广东省诚信企业”、“最具影响力雇主”等殊荣。集团始终坚持“真诚正义，先人后己”的核心价值观，积极推行“真服务、真保障”服务战略，为客户提供及时精准、专业可信、高效超值的房产交易全价值链服务。通过运用互联网、人工智能等新技术，打造线上线下一体化的E2E智能生态系统，致力于为客户打造房产交易全过程、全网络、全家庭生命周期的极致服务体验。集团以“立足大深圳、密布珠三角、连锁全中国”为发展战略，有效整合全国各项资源，实现“有家的地方就有乐有家”的宏伟愿景！,民营  |  10000人以上
房地产营销经理,深圳市岗宏集团有限公司,1-2万,深圳-龙岗区,本科,5-7年经验,五险一金,房地产,职责描述：1、负责深圳项目营销管理工作，统筹管理项目销售及策划团队，对项目任务及营销目标负责；2、统筹、制定、推行项目营销策略（包括营销、推售、推广、渠道、价格、客户、案场等策略）；3、统筹管理项目销售目标及销售计划，销售模式，营销费用把控等；4、统筹管理推售、价格制定及调整策略；5、统筹管理案场团队及实施、推进目标达成。任职资格：1、***本科以上，房地产开发管理、营销管理等相关专业；2、房地产行业营销管理5年以上工作经验，至少3年同岗位工作经验；3、完整项目操盘管理经验，熟悉销售管理各流程，具备深圳营销管理经验，有较强的团队管理能力及经验；4、有较强的人际交往和沟通谈判能力，有一定的资源积累。,民营  |  150-500人
营销主管,长沙畅安智能科技发展有限公司,1-2万,长沙-岳麓区,本科,2年经验,长沙畅安智能科技发展有限公司,通信/电信运营、增值服务,营销岗位职责:1、负责营销策划方案的制定，营地年度营销规划。2、根据营地产品定位，挖掘新的渠道和方式进行有效的策划推广。3、负责营地产品的销售、客户回款、客户关系维护。4、负责营销体系管理制度和流程的建设。任职要求：1、大学本科及以上，市场营销或其他相关专业，具有市场营销、市场策划和广告宣传等专业知识者优先。2、2年以上市场营销工作经验，有本行业市场工作经验优先。3、具备优秀的资源整合能力和市场敏感度4、对品牌塑造和项目营销有经验和见解，思维敏捷、策划、分析力较强。5、较强的沟通能力，能准确的表达、传达工作意图。6、具备高度的责任心和团队协作精神，能够承受较大的工作压力。,民营  |  少于50人
康养中心营销总监（深圳）,九江市德昌实业有限公司,2-3万,深圳-南山区,本科,8-9年经验,营销,多元化业务集团公司,岗位职责：1.负责制定集团康养中心及西海养生酒店项目年度营销目标、营销可行性方案以及整体营销工作计划，完成公司下达的营销任务指标；2.负责集团康养中心及西海养生酒店项目所提供服务产品的市场研究、品牌推广、营销策划、销售管理、客户服务等工作；3.负责集团康养中心及西海养生酒店项目营销费用管控；4.负责建立与执行营销部门各类管理制度与流程；5.开展集团康养中心及西海养生酒店项目营销团队建设，包括不限于团队组建、培训、考核、激励以及团建活动；6.负责营销部门与集团各部门的工作沟通与协调工作；7.负责处理营销过程中各类突发事件和客户纠纷；8.负责重大销售合同谈判和签订工作；9.其他集团经营班子交办的营销工作。任职资格：1.30-45岁，本科及以上学历，经济类、医学类相关专业；2.8年以上房地产企业同等职位营销策划、推广、销售及客服管理工作经验；3.熟悉江西房地产市场行情，有高尔夫、高端酒店及康养项目会籍营销经历者优先；4.具有较丰富房地产行业媒体资源，熟练运用各种营销模式和渠道进行营销推广，具备优秀市场分析和应对能力，富有创新精神；5.优秀的沟通表达及团队管理能力，较强的工作承压能力；6.有较强的市场敏锐度和市场分析能力；7.具有突出的销售能力、领导能力和管理能力，能够激发团队营销潜能，完成销售任务。,民营  |  150-500人
房产营销总监,宝业集团股份有限公司,20-30万/年,绍兴-越城区,大专,5-7年经验,专业培训,建筑/建材/工程,岗位要求：1、房地产管理或市场营销相关专业；2、十年以上大型房地产开发公司管理岗位营销策划及销售管理经验，五年以上大型知名房地产开发公司高管工作经历；3、对房地产行业、客户和媒体有深刻理解和控制能力，熟悉房地产市场，有大型高档项目成功的全程操盘经验和成功案例；4、能够组织和指导市场调查，具备先进的营销理念、较强的市场分析能力和应变能力；5、熟悉房地产品的销售和售后服务管理，熟练掌握各种销售模式，富于创新精神；6、卓越的规划、组织、策划、方案执行和团队领导能力，具备较高的人际沟通和谈判技巧；7、为人诚恳，具有较强的带团队能力；岗位职责：1、全面负责公司房地产项目的营销、策划、销售管理、客户关系等营销工作；2、负责制定公司项目总体和分阶段的市场推广传播策略并有效执行，制定销售政策、销售策略和实施方案的设计并有效执行；3、负责市场调研、产品分析，对竞争产品进行研究与监控，提供项目市场运作的建议书和产品建议书；4、负责项目市场营销费用的预算支出的控制；5、负责营销团队全面管理工作；,民营  |  1000-5000人
房产项目营销总监,华景川集团有限公司,20-30万,宁波-余姚市,大专,5-7年经验,绩效奖金,房地产,岗位职责：（熟悉余姚市场）1、参与制订公司营销战略，根据营销战略制订营销策略及计划，监督实施营销全过程；2、定期对市场营销环境、目标、计划、业务活动等进行分析，及时调整营销策略计划，制订预防和纠正措施，确保完成营销指标；3、组织开展市场调研、产品分析，拟定营销策划、公关、广告及推广方案，对竞品进行深入研究分析，提供市场运作方向性建议，对营销总体费用进行管控；4、建设规范化、高素质营销团队，带领并指导其完成营销指标和计划，负责对下属人员进行业务指导、培训及考核工作；5、拓展客户及社会各界关系，建立完善的客户关系管理体系。任职条件：1、市场营销、经济类相关专业；2、地产5年以上销售工作经验，营销策划工作经验5年以上工作经验，有大型知名房地产企业同岗位经验者优先，具备环杭三个以上营销全程操盘经验和成功案例者优先；3、具有敏感的商业和市场意识，具有较强的分析问题及解决问题能力、良好的业务开拓及资源整合能力、公关协调能力；4、了解基本的房地产规划，精通房地产销售管理流程与市场营销策略。,民营  |  1000-5000人
