职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值,最低年薪,最高年薪
金融销售/理财顾问/保险销售,中国平安人寿保险股份有限公司四川分公司,8千-1.5万,成都·高新区,大专,3-4年,"员工旅游
专业培训
弹性工作
绩效奖金
年终奖金
交通补贴
周末双休
医疗健康
证券
管理
银行
金融
基金
理财
贷款
保险",保险,,已上市  |  10000人以上,成都,,8000-15000,8000,15000,,
综合金融总监（上市公司+双休）,中国平安人寿保险股份有限公司云南分公司昆明区域拓展第一支公司,2.5-4万,昆明·盘龙区,本科,5-7年,"补充医疗保险
员工旅游
专业培训
出国机会
绩效奖金
年终奖金
弹性工作
定期体检",保险,,民营  ,昆明,,25000-40000,25000,40000,,
金融机构客户经理,招商永隆银行有限公司上海分行,1-2万,上海,本科,5-7年,"同业金融
同业业务
客户经理
五险一金
补充公积金
补充医疗保险
餐饮补贴
定期体检
节日福利
带薪年假",银行,,外资（非欧美）  |  少于50人,上海,,10000-20000,10000,20000,,
金融机构部,明诚众盛（广东）产业发展中心（有限合伙）,4.5-7.5万,广州·番禺区,大专,2年,"银行
基金
信托
保险
担保
投资
融资
租赁
无封顶底薪
超高额提成
绩效奖金
年终奖金
弹性工作
园区食堂
生日福利
节日福利
员工旅游
定期体检",金融/投资/证券,,民营  |  50-150人,广州,,45000-75000,45000,75000,,
金融数据分析师,广州慧晟商务咨询有限公司,9千-1.5万·13薪,广州·天河区,大专,1年,"金融行业
数据敏感
金融信息
金融市场
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
出国机会
股票期权",计算机软件,,民营  |  50-150人,广州,13,9000-15000,9000,15000,,
金融数据分析,广州慧晟商务咨询有限公司,9千-1.5万·13薪,广州·天河区,大专,1年,"金融行业
金融信息
金融市场
数据敏感
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
股票期权
出国机会",计算机软件,,民营  |  50-150人,广州,13,9000-15000,9000,15000,,
急招金融交易员/接受无经验,南昌奥迅信息咨询有限公司,4.5-6千,南昌·青山湖区,高中,无需经验,"交易员
操盘手
金融
期货
外汇
股票
证券
交易
五险一金
员工旅游
绩效奖金
专业培训
股票期权
弹性工作",金融/投资/证券,,民营  |  少于50人,南昌,,4500-6000,4500,6000,,
金融数据研究员,广州慧晟商务咨询有限公司,9千-1.4万·13薪,广州·天河区,大专,1年,"金融行业
金融市场
金融信息
数据敏感
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
出国机会
股票期权",计算机软件,,民营  |  50-150人,广州,13,9000-14000,9000,14000,,
金融项目总经理（证券、投资、票据）,珠海江海天化工发展有限公司,1.5-2万,深圳·南山区,本科,5-7年,"金融
带薪年假
五险一金
节日福利",石油/化工/矿产/地质,,民营  |  50-150人,深圳,,15000-20000,15000,20000,,
综合金融岗,申万宏源证券有限公司贵州分公司,1.5-2万,贵阳·观山湖区,本科,2年,"国企
周末双休
五险一金
定期体检
交通补贴
餐饮补贴
通讯补贴
年终奖金
绩效奖金",金融/投资/证券,,国企  |  少于50人,贵阳,,15000-20000,15000,20000,,
上市公司金融理财顾问（周末双休）,中国平安人寿保险股份有限公司云南分公司昆明直属第二支公司,1.5-2万·13薪,昆明·盘龙区,本科,3-4年,"营销
金融
银行
基金
客户服务
理财产品
黄金投资
理财方案
证券
补充医疗保险
员工旅游
免费班车
专业培训
年终奖金
定期体检
餐饮补贴
补充公积金
出国机会",保险,,民营  ,昆明,13,15000-20000,15000,20000,,
金融机构经理,金瑞期货股份有限公司,8千-1.6万,北京·东城区,本科,2年,"五险一金
补充医疗保险
交通补贴
餐饮补贴
绩效奖金
年终奖金
定期体检",金融/投资/证券,,国企  |  150-500人,北京,,8000-16000,8000,16000,,
资深金融理财销售经理,上海极元金融信息服务（集团）股份有限公司,2-2.5万,上海,大专,2年,"理财顾问
理财经理
理财总监
三方理财
证券
银行",金融/投资/证券,,民营  |  50-150人,上海,,20000-25000,20000,25000,,
综合金融团队负责人,申银万国期货有限公司,6千-1万,无锡,本科,1年,"五险一金
交通补贴
绩效奖金
定期体检
专业培训",金融/投资/证券,,国企  |  500-1000人,无锡,,6000-10000,6000,10000,,
金融研究员,广西淘金指软件科技有限公司,6千-1.2万,福州·鼓楼区,大专,1年,"金融
经济
金融行业
金融工程
金融衍生品
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
弹性工作
节日福利
周末双休
带薪年假",计算机软件,,民营  |  少于50人,福州,,6000-12000,6000,12000,,
金融研究员,贵州鼎邦达信息咨询有限公司,6千-1.2万,南昌,本科,1年,"金融
数据分析
证券
金融行业
周末双休
无加班
弹性工作
线上办公
带薪年假",计算机软件,,民营  ,南昌,,6000-12000,6000,12000,,
公司金融顾问（CFC）,平安证券股份有限公司,15-30万/年,佛山·禅城区,本科,2年,"金融
证券
顾问
机构
销售
投资
业务
资产
投顾
客户
专业培训
五险一金
补充医疗保险
员工旅游
绩效奖金
年终奖金
定期体检",金融/投资/证券,,已上市  |  1000-5000人,佛山,,nan,,,150000,300000
综合金融业务经理,申银万国期货有限公司,6千-1.2万,青岛,本科,2年,"金融
五险一金
补充医疗保险
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检
弹性工作
企业年金",金融/投资/证券,,国企  |  500-1000人,青岛,,6000-12000,6000,12000,,
综合金融主管（集团+培训）,中国平安人寿保险股份有限公司云南分公司昆明区域拓展第一支公司,1.2-1.5万·13薪,昆明·盘龙区,大专,3-4年,"管理
综合金融
定制方案
客户关系维护
补充医疗保险
专业培训
年终奖金
出国机会
员工旅游
通讯补贴
绩效奖金
定期体检",保险,,民营  ,昆明,13,12000-15000,12000,15000,,
优才营销-车险保险金融银行贷款(销售代表),中国平安人寿保险股份有限公司四川分公司,8千-1.6万,成都·金牛区,大专,3-4年,"做五休二
全勤奖
弹性工作
绩效奖金
专业培训
免费培训
生日福利
年终奖金
季度奖金
训练津贴
销售
贷款
保险
销售代表
金融
直销销售
车险
营销
电话销售
客户经理",保险,,已上市  |  10000人以上,成都,,8000-16000,8000,16000,,
急聘——综合金融理财（银行 证券 信托 保险）,中国平安人寿保险股份有限公司陕西分公司,1-1.5万,西安·高新技术产业开发区,本科,2年,"销售
储备经理
平安
保险
综合金融
主管
代理人
补充医疗保险
补充公积金
员工旅游
年终奖金
股票期权
绩效奖金
出国机会
专业培训
弹性工作",金融/投资/证券,,已上市  |  1000-5000人,西安,,10000-15000,10000,15000,,
金融机构部客户经理,中融汇信期货有限公司,8千-1.2万,北京·朝阳区,本科,3-4年,"五险一金
餐饮补贴
绩效奖金
定期体检",金融/投资/证券,,民营  |  150-500人,北京,,8000-12000,8000,12000,,
产品经理（金融市场方向）,广州银行股份有限公司深圳分行,15-30万/年,深圳,本科,1年,产品经理,银行,,国企  |  150-500人,深圳,,nan,,,150000,300000
综合金融储备主管,中国平安人寿保险股份有限公司四川分公司,8千-1.2万,成都·龙泉驿区,大专,1年,"周末双休
专业培训
弹性工作
补充医疗保险
补充公积金
员工旅游
出国机会
定期体检
绩效奖金
年终奖金",保险,,合资  |  10000人以上,成都,,8000-12000,8000,12000,,
资深公司金融顾问,苏州燕鸟融资咨询服务有限公司,30-60万/年,深圳·南山区,本科,5-7年,"公司金融顾问
精品投行
融资
金融
企业融资
债权融资
融资顾问
财务",计算机软件,,民营  ,深圳,,nan,,,300000,600000
金融咨询顾问（出国旅游+双休）,中国平安人寿保险股份有限公司云南分公司昆明区域拓展第一支公司,1.2-1.6万·14薪,昆明·盘龙区,本科,5-7年,"补充医疗保险
专业培训
年终奖金
出国机会
员工旅游
通讯补贴
绩效奖金
定期体检",保险,,民营  ,昆明,14,12000-16000,12000,16000,,
金融风控专员,广州慧晟商务咨询有限公司,9千-1.4万·13薪,广州·天河区,大专,1年,"金融
金融行业
数据搜集
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
股票期权
出国机会",计算机软件,,民营  |  50-150人,广州,13,9000-14000,9000,14000,,
金融储备干部,平安普惠投资咨询有限公司深圳龙岗营业部,1-1.5万,深圳·龙岗区,本科,2年,"信贷销售
管理培训生
六险二金
员工旅游
绩效奖金
定期体检
专业培训
降温补助
个税扣减
小组团建
节日福利
生日福利",银行,,民营  |  10000人以上,深圳,,10000-15000,10000,15000,,
资深公司金融顾问,苏州燕鸟融资咨询服务有限公司,30-60万/年,深圳·南山区,本科,5-7年,"公司金融顾问
精品投行
融资
金融
企业融资
债权融资
融资顾问
财务",计算机软件,,民营  ,深圳,,nan,,,300000,600000
