el_链接,名称,时间,sal,d,d1,d2,关键词,名称_链接,名称3,dc,int
https://jobs.51job.com/chengdu/146677784.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融销售/理财顾问/保险销售,03-09发布,8千-1.5万,成都·高新区,3-4年,大专,"员工旅游
专业培训
弹性工作
绩效奖金
年终奖金
交通补贴
周末双休
医疗健康
证券
管理
银行
金融
基金
理财
贷款
保险",https://jobs.51job.com/all/coBWZQNVYxU2wHawNjVzc.html,中国平安人寿保险股份有限公司四川分公司,已上市  |  10000人以上,保险
https://jobs.51job.com/kunming/146692876.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,综合金融总监（上市公司+双休）,03-09发布,2.5-4万,昆明·盘龙区,5-7年,本科,"补充医疗保险
员工旅游
专业培训
出国机会
绩效奖金
年终奖金
弹性工作
定期体检",https://jobs.51job.com/all/coCWgBYAVmUWZRMlExAmI.html,中国平安人寿保险股份有限公司云南分公司昆明区域拓展第一支公司,民营  ,保险
https://jobs.51job.com/shanghai/129264734.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融机构客户经理,03-09发布,1-2万,上海,5-7年,本科,"同业金融
同业业务
客户经理
五险一金
补充公积金
补充医疗保险
餐饮补贴
定期体检
节日福利
带薪年假",https://jobs.51job.com/all/coBGBUMlU3Bz4AZAxuB2s.html,招商永隆银行有限公司上海分行,外资（非欧美）  |  少于50人,银行
https://jobs.51job.com/guangzhou/146630915.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融机构部,03-09发布,4.5-7.5万,广州·番禺区,2年,大专,"银行
基金
信托
保险
担保
投资
融资
租赁
无封顶底薪
超高额提成
绩效奖金
年终奖金
弹性工作
园区食堂
生日福利
节日福利
员工旅游
定期体检",https://jobs.51job.com/all/coUTBRM1I0Aj5VMVY9Vzo.html,明诚众盛（广东）产业发展中心（有限合伙）,民营  |  50-150人,金融/投资/证券
https://jobs.51job.com/guangzhou/146677358.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融数据分析师,03-09发布,9千-1.5万·13薪,广州·天河区,1年,大专,"金融行业
数据敏感
金融信息
金融市场
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
出国机会
股票期权",https://jobs.51job.com/all/coCWhRM144VmpSM1Q-UTY.html,广州慧晟商务咨询有限公司,民营  |  50-150人,计算机软件
https://jobs.51job.com/guangzhou/146729724.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融数据分析,03-09发布,9千-1.5万·13薪,广州·天河区,1年,大专,"金融行业
金融信息
金融市场
数据敏感
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
股票期权
出国机会",https://jobs.51job.com/all/coCWgFZ1E3VmpVNANnUTE.html,广州慧晟商务咨询有限公司,民营  |  50-150人,计算机软件
https://jobs.51job.com/nanchang/133997379.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,急招金融交易员/接受无经验,03-09发布,4.5-6千,南昌·青山湖区,无需经验,高中,"交易员
操盘手
金融
期货
外汇
股票
证券
交易
五险一金
员工旅游
绩效奖金
专业培训
股票期权
弹性工作",https://jobs.51job.com/all/coUTFQMl80AT0ObQ1tUjc.html,南昌奥迅信息咨询有限公司,民营  |  少于50人,金融/投资/证券
https://jobs.51job.com/guangzhou/146729834.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融数据研究员,03-09发布,9千-1.4万·13薪,广州·天河区,1年,大专,"金融行业
金融市场
金融信息
数据敏感
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
出国机会
股票期权",https://jobs.51job.com/all/coCWhRM144VmpSM1Q-UTY.html,广州慧晟商务咨询有限公司,民营  |  50-150人,计算机软件
https://jobs.51job.com/shenzhen/146747183.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融项目总经理（证券、投资、票据）,03-09发布,1.5-2万,深圳·南山区,5-7年,本科,"金融
带薪年假
五险一金
节日福利",https://jobs.51job.com/all/coCWpWMQBgAzwPbwdgBmM.html,珠海江海天化工发展有限公司,民营  |  50-150人,石油/化工/矿产/地质
https://jobs.51job.com/guiyang/137826151.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,综合金融岗,03-09发布,1.5-2万,贵阳·观山湖区,2年,本科,"国企
周末双休
五险一金
定期体检
交通补贴
餐饮补贴
通讯补贴
年终奖金
绩效奖金",https://jobs.51job.com/all/coAmBcPwJoAzhSNwJoAmI.html,申万宏源证券有限公司贵州分公司,国企  |  少于50人,金融/投资/证券
https://jobs.51job.com/kunming/146723867.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,上市公司金融理财顾问（周末双休）,03-09发布,1.5-2万·13薪,昆明·盘龙区,3-4年,本科,"营销
金融
银行
基金
客户服务
理财产品
黄金投资
理财方案
证券
补充医疗保险
员工旅游
免费班车
专业培训
年终奖金
定期体检
餐饮补贴
补充公积金
出国机会",https://jobs.51job.com/all/coVTQFZ1UwBDsEaANpVjU.html,中国平安人寿保险股份有限公司云南分公司昆明直属第二支公司,民营  ,保险
https://jobs.51job.com/beijing/146674768.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,金融机构经理,03-09发布,8千-1.6万,北京·东城区,2年,本科,"五险一金
补充医疗保险
交通补贴
餐饮补贴
绩效奖金
年终奖金
定期体检",https://jobs.51job.com/all/coAWVTMlAwDjgHYwZgAWI.html,金瑞期货股份有限公司,国企  |  150-500人,金融/投资/证券
https://jobs.51job.com/shanghai/138761439.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,资深金融理财销售经理,03-09发布,2-2.5万,上海,2年,大专,"理财顾问
理财经理
理财总监
三方理财
证券
银行",https://jobs.51job.com/all/coVDEFY189BzgOY1cxVDU.html,上海极元金融信息服务（集团）股份有限公司,民营  |  50-150人,金融/投资/证券
https://jobs.51job.com/wuxi/137796553.html?s=sou_sou_soulb&t=0_0&req=8007a94b94ffc35e09a1c167e4a4c997,综合金融团队负责人,03-09发布,6千-1万,无锡,1年,本科,"五险一金
交通补贴
绩效奖金
定期体检
专业培训",https://jobs.51job.com/all/coUjZQNQViU28DYAVmVDk.html,申银万国期货有限公司,国企  |  500-1000人,金融/投资/证券
